virus_unid	human_unid	rank	allnum
P08291	P18564	838	1418
P08617	Q96D42	1053	1418
P08668	P05106	126	1418
P08669	Q14118	65	1418
P08669	P11279	130	1418
P08669	Q9NNX6	588	1418
P08669	P30530	650	1418
P08669	Q06418	762	1418
P08669	Q6UXB4	796	1418
P08669	Q96D42	1246	1418
P09991	Q14118	64	1418
P09991	P30530	557	1418
P09991	Q9NNX6	670	1418
P09991	Q6UXB4	822	1418
P09991	Q06418	847	1418
P0DTC2	Q8WTV0	345	1418
P0DTC2	O14786	552	1418
P0DTC2	P30530	573	1418
P0DTC2	Q9BYF1	600	1418
P10269	Q15758	240	1418
P11261	Q08357	396	1418
P11261	Q8WUM9	728	1418
P12640	P15151	187	1418
P12640	Q15223	320	1418
P15423	P15144	680	1418
P15423	Q9H2X3	1164	1418
P17763	P08865	3	1418
P17763	P30530	173	1418
P17763	Q06418	543	1418
P17763	O95832	641	1418
P17763	Q9NNX6	779	1418
P17763	Q9NY25	929	1418
P17763	Q96D42	1348	1418
P19725	Q16653	1032	1418
P21415	Q08357	589	1418
P21415	Q8WUM9	1089	1418
P22055	P05362	409	1418
P22055	P08174	583	1418
P24994	Q92956	234	1418
P24994	Q92692	318	1418
P24994	Q15223	338	1418
P24994	Q9NNX6	584	1418
P27285	P08865	3	1418
P27395	Q6UXB4	759	1418
P27395	Q9BX97	840	1418
P27395	Q9NNX6	858	1418
P27395	Q9H2X3	1105	1418
P27395	P0CG01	1120	1418
P27958	Q16625	88	1418
P27958	P00533	98	1418
P27958	P60033	139	1418
P27958	P29317	161	1418
P27958	P02786	186	1418
P27958	P01130	228	1418
P27958	Q8WTV0	537	1418
P27958	O95832	662	1418
P27958	Q9NNX6	912	1418
P27958	Q9H2X3	1323	1418
P28864	P15529	920	1418
P31791	Q15758	141	1418
P36320	P43489	1172	1418
P36329	P08865	21	1418
P52352	P01730	388	1418
Q02076	Q9Y5Y0	321	1418
Q5XXP3	P35232	56	1418
Q5XXP3	Q9BRK3	931	1418
Q66575	P08174	538	1418
Q66765	P19320	237	1418
Q6IUF7	P02786	137	1418
Q6JC40	P08865	9	1418
Q6Q1S2	Q9BYF1	319	1418
Q6UY73	P02786	95	1418
Q6WB94	P05556	35	1418
Q6WB94	P08648	190	1418
Q84168	Q14118	46	1418
Q8AYW1	P02786	184	1418
Q8B121	Q14118	98	1418
Q9E006	Q08174	766	1418
Q9IH62	P52799	41	1418
Q9IH62	Q15768	960	1418
Q9PZT0	P05556	30	1418
Q9PZT0	P08648	314	1418
Q9Q6P4	P05106	150	1418
Q9Q6P4	P06756	151	1418
Q9Q6P4	Q9NNX6	816	1418
Q9Q6P4	Q9H2X3	1120	1418
Q9QL88	P78310	440	1418
Q9YLG5	P78310	415	1418
QJA10589	P08174	673	1418
QNN25832	Q96MU8	963	1418
QWM97554	P08174	473	1418
QZA87423	P78310	567	1418
YP_001552435	Q6ZTQ4	354	1418
YP_002213828	P33681	1006	1418
YP_002213828	P42081	1039	1418
YP_002213828	P15529	1183	1418
YP_009505605	P08174	745	1418
YP_009505605	Q9UMF0	1075	1418
YP_009505617	P06756	38	1418
YP_009505617	P05106	196	1418
YP_068048	P78310	180	1418
YP_068330	P15151	150	1418
YP_068330	Q92692	265	1418
YP_068330	Q15223	353	1418
YP_077180	P08865	6	1418
YP_081514	P00533	60	1418
YP_081514	P05556	62	1418
YP_081514	P06756	97	1418
YP_081514	P05106	145	1418
YP_081514	Q9NNX6	605	1418
YP_081514	P15144	946	1418
YP_081514	A6ND48	1032	1418
YP_081514	Q9H2X3	1133	1418
