human_unid	virus_unid	pred_score
P20700	P0DTC4	0.124
Q16666	A0A5J6DW60	0.19399999999999998
P00747	P15240	0.038
Q01813	P03452	0.146
Q93009	F5H9G3	0.102
Q9UI95	Q779E8	0.061
Q13888	P21698	0.048
P63267	A0A5J6DVX6	0.105
Q15477	C8XNX3	0.07200000000000001
Q9UBQ7	A0A0B6VKU0	0.131
Q9H6X4	Q81871	0.027999999999999997
P21912	Q98131	0.161
Q15477	K9N4V0	0.038
Q13546	F5HAR0	0.045
O14818	Q6SWW3	0.125
P63244	Q9Q2P1	0.099
P15311	B4UPA8	0.16399999999999998
O15162	P0CK47	0.113
O00410	Q9YKI3	0.239
P05455	O39474	0.115
Q16666	F8RE30	0.17600000000000002
Q5VV52	R9UMC1	0.032
O75525	I6TAG8	0.221
P61981	A0A7S4U3Y4	0.111
P0CG48	P10211	0.038
P42224	Q76RC6	0.207
Q13651	P03180	0.062
Q53GL7	A4D8X6	0.077
P46379	R9UQM6	0.18100000000000002
P49069	P0DSV7	0.057
P08195	P03454	0.11599999999999999
P15529	P68323	0.049
Q9H4A3	Q9QAI4	0.303
Q93009	Q9DUN1	0.107
Q9UKJ1	A1Z0P7	0.057
P07305	P06459	0.135
P61769	P59596	0.057999999999999996
Q9UI95	P24935	0.067
P68363	P59637	0.11
O95832	P0DTC5	0.057
P05455	Q194T2	0.179
P20700	P0DTC4	0.124
Q16666	A0A5J6DW60	0.19399999999999998
P00747	P15240	0.038
Q01813	P03452	0.146
Q93009	F5H9G3	0.102
Q9UI95	Q779E8	0.061
Q13888	P21698	0.048
P63267	A0A5J6DVX6	0.105
Q15477	C8XNX3	0.07200000000000001
Q9UBQ7	A0A0B6VKU0	0.131
Q9H6X4	Q81871	0.027999999999999997
P21912	Q98131	0.161
Q15477	K9N4V0	0.038
Q13546	F5HAR0	0.045
O14818	Q6SWW3	0.125
P63244	Q9Q2P1	0.099
P15311	B4UPA8	0.16399999999999998
O15162	P0CK47	0.113
O00410	Q9YKI3	0.239
P05455	O39474	0.115
Q16666	F8RE30	0.17600000000000002
Q5VV52	R9UMC1	0.032
O75525	I6TAG8	0.221
P61981	A0A7S4U3Y4	0.111
P0CG48	P10211	0.038
P42224	Q76RC6	0.207
Q13651	P03180	0.062
Q53GL7	A4D8X6	0.077
P46379	R9UQM6	0.18100000000000002
P49069	P0DSV7	0.057
P08195	P03454	0.11599999999999999
P15529	P68323	0.049
Q9H4A3	Q9QAI4	0.303
Q93009	Q9DUN1	0.107
Q9UKJ1	A1Z0P7	0.057
P07305	P06459	0.135
P61769	P59596	0.057999999999999996
Q9UI95	P24935	0.067
P68363	P59637	0.11
O95832	P0DTC5	0.057
P05455	Q194T2	0.179
P20700	P0DTC4	0.124
Q16666	A0A5J6DW60	0.19399999999999998
P00747	P15240	0.038
Q01813	P03452	0.146
Q93009	F5H9G3	0.102
Q9UI95	Q779E8	0.061
Q13888	P21698	0.048
P63267	A0A5J6DVX6	0.105
Q15477	C8XNX3	0.07200000000000001
Q9UBQ7	A0A0B6VKU0	0.131
Q9H6X4	Q81871	0.027999999999999997
P21912	Q98131	0.161
Q15477	K9N4V0	0.038
Q13546	F5HAR0	0.045
O14818	Q6SWW3	0.125
P63244	Q9Q2P1	0.099
P15311	B4UPA8	0.16399999999999998
O15162	P0CK47	0.113
O00410	Q9YKI3	0.239
P05455	O39474	0.115
Q16666	F8RE30	0.17600000000000002
Q5VV52	R9UMC1	0.032
O75525	I6TAG8	0.221
P61981	A0A7S4U3Y4	0.111
P0CG48	P10211	0.038
P42224	Q76RC6	0.207
Q13651	P03180	0.062
Q53GL7	A4D8X6	0.077
P46379	R9UQM6	0.18100000000000002
P49069	P0DSV7	0.057
P08195	P03454	0.11599999999999999
P15529	P68323	0.049
Q9H4A3	Q9QAI4	0.303
Q93009	Q9DUN1	0.107
Q9UKJ1	A1Z0P7	0.057
P07305	P06459	0.135
P61769	P59596	0.057999999999999996
Q9UI95	P24935	0.067
P68363	P59637	0.11
O95832	P0DTC5	0.057
P05455	Q194T2	0.179
P20700	P0DTC4	0.124
Q16666	A0A5J6DW60	0.19399999999999998
P00747	P15240	0.038
Q01813	P03452	0.146
Q93009	F5H9G3	0.102
Q9UI95	Q779E8	0.061
Q13888	P21698	0.048
P63267	A0A5J6DVX6	0.105
Q15477	C8XNX3	0.07200000000000001
Q9UBQ7	A0A0B6VKU0	0.131
Q9H6X4	Q81871	0.027999999999999997
P21912	Q98131	0.161
Q15477	K9N4V0	0.038
Q13546	F5HAR0	0.045
O14818	Q6SWW3	0.125
P63244	Q9Q2P1	0.099
P15311	B4UPA8	0.16399999999999998
O15162	P0CK47	0.113
O00410	Q9YKI3	0.239
P05455	O39474	0.115
Q16666	F8RE30	0.17600000000000002
Q5VV52	R9UMC1	0.032
O75525	I6TAG8	0.221
P61981	A0A7S4U3Y4	0.111
P0CG48	P10211	0.038
P42224	Q76RC6	0.207
Q13651	P03180	0.062
Q53GL7	A4D8X6	0.077
P46379	R9UQM6	0.18100000000000002
P49069	P0DSV7	0.057
P08195	P03454	0.11599999999999999
P15529	P68323	0.049
Q9H4A3	Q9QAI4	0.303
Q93009	Q9DUN1	0.107
Q9UKJ1	A1Z0P7	0.057
P07305	P06459	0.135
P61769	P59596	0.057999999999999996
Q9UI95	P24935	0.067
P68363	P59637	0.11
O95832	P0DTC5	0.057
P05455	Q194T2	0.179
P20700	P0DTC4	0.124
Q16666	A0A5J6DW60	0.19399999999999998
P00747	P15240	0.038
Q01813	P03452	0.146
Q93009	F5H9G3	0.102
Q9UI95	Q779E8	0.061
Q13888	P21698	0.048
P63267	A0A5J6DVX6	0.105
Q15477	C8XNX3	0.07200000000000001
Q9UBQ7	A0A0B6VKU0	0.131
Q9H6X4	Q81871	0.027999999999999997
P21912	Q98131	0.161
Q15477	K9N4V0	0.038
Q13546	F5HAR0	0.045
O14818	Q6SWW3	0.125
P63244	Q9Q2P1	0.099
P15311	B4UPA8	0.16399999999999998
O15162	P0CK47	0.113
O00410	Q9YKI3	0.239
P05455	O39474	0.115
Q16666	F8RE30	0.17600000000000002
Q5VV52	R9UMC1	0.032
O75525	I6TAG8	0.221
P61981	A0A7S4U3Y4	0.111
P0CG48	P10211	0.038
P42224	Q76RC6	0.207
Q13651	P03180	0.062
Q53GL7	A4D8X6	0.077
P46379	R9UQM6	0.18100000000000002
P49069	P0DSV7	0.057
P08195	P03454	0.11599999999999999
P15529	P68323	0.049
Q9H4A3	Q9QAI4	0.303
Q93009	Q9DUN1	0.107
Q9UKJ1	A1Z0P7	0.057
P07305	P06459	0.135
P61769	P59596	0.057999999999999996
Q9UI95	P24935	0.067
A0A0B4J2D5	CAP08171.1	0.106
A0A0B4J2D5	NP_570162.1	0.067
A0A0B4J2D5	NP_570752.1	0.085
A0A0B4J2D5	YP_214059.1	0.09300000000000001
A0A0B4J2D5	YP_010113268.1	0.087
A0A0B4J2D5	YP_009703182.1	0.061
A0A0B4J2D5	YP_182370.1	0.102
A0A0B4J2D5	NP_570287.1	0.07400000000000001
A0A0B4J2D5	YP_010097628.1	0.078
A0A0B4J2D5	AFD21954.1	0.106
A0A0B4J2D5	YP_009508837.1	0.111
A0A0B4J2D5	NP_066828.1	0.092
A0A0B4J2D5	AEV55017.1	0.1
A0A0B4J2D5	YP_009130677.1	0.085
A0A0B4J2D5	YP_182384.1	0.1
A0A0B4J2D5	YP_214050.1	0.08
A0A0B4J2D5	YP_068345.1	0.09699999999999999
A0A0B4J2D5	YP_010097108.1	0.065
A0A0B4J2D5	YP_008492991.1	0.08800000000000001
A0A0B4J2D5	YP_008493006.1	0.099
A0A0B4J2D5	YP_005296322.1	0.078
A0A0B4J2D5	CAP08162.1	0.099
A0A0B4J2D5	YP_009825001.1	0.11
A0A0B4J2D5	YP_068298.1	0.08900000000000001
A0A0B4J2D5	YP_009337832.1	0.1
A0A0B4J2D5	YP_008145318.1	0.087
A0A0B4J2D5	YP_009130676.1	0.081
A0A0B4J2D5	YP_009703216.1	0.11900000000000001
A0A0B4J2D5	YP_009703126.1	0.111
A0A0B4J2D5	NP_570309.1	0.068
A0A0B4J2D5	YP_068321.1	0.127
A0A0B4J2D5	AAD21338.1	0.095
A0A0B4J2D5	YP_009252348.1	0.114
A0A0B4J2D5	YP_068277.1	0.11900000000000001
A0A0B4J2D5	NP_108653.1	0.095
A0A0B4J2D5	YP_005296245.1	0.059000000000000004
A0A0B4J2D5	YP_182408.1	0.079
A0A0B4J2D5	YP_004152334.1	0.10300000000000001
A0A0B4J2D5	YP_009703165.1	0.153
A0A0B4J2D5	BAA82943.1	0.099
A0A0B4J2D5	YP_009252349.1	0.07400000000000001
A0A0B4J2D5	YP_004346953.1	0.113
A0A0B4J2D5	YP_009508839.1	0.10300000000000001
A0A0B4J2D5	YP_182366.1	0.087
A0A0B4J2D5	YP_209234.1	0.09300000000000001
A0A0B4J2D5	NP_570303.1	0.059000000000000004
A0A0B4J2D5	YP_009344932.1	0.067
A0A0B4J2D5	YP_214145.1	0.071
A0A0B4J2D5	YP_009553208.1	0.09699999999999999
A0A0B4J2D5	CAZ86711.1	0.11
A0A0B4J2D5	YP_009703135.1	0.067
A0A0B4J2D5	AEV55062.1	0.069
A0A0B4J2D5	YP_068196.1	0.094
A0A0B4J2D5	CAP08178.1	1.0
A0A0B4J2D5	AAD21339.1	0.109
A0A0B4J2D5	YP_001285932.1	0.141
A0A0B4J2D5	YP_009703141.1	0.077
A0A0B4J2D5	YP_009703150.1	0.059000000000000004
A0A0B4J2D5	CAP08148.1	0.077
A0A0B4J2D5	YP_009094036.1	0.11699999999999999
A0A0B4J2D5	NP_595041.1	0.096
A0A0B4J2D5	YP_009010979.1	0.091
A0A0B4J2D5	YP_006390081.1	0.13699999999999998
A0A0B4J2D5	BAA82917.1	0.09300000000000001
A0A0B4J2D5	YP_214076.1	0.083
A0A0B4J2D5	YP_001033976.1	0.069
A0A0B4J2D5	NP_066830.1	0.094
A0A0B4J2D5	YP_009252354.1	0.08800000000000001
A0A0B4J2D5	YP_009508492.1	0.059000000000000004
A0A0B4J2D5	YP_009667036.1	0.064
A0A0B4J2D5	YP_214038.1	0.081
A0A0B4J2D5	AFV77573.1	0.091
A0A0B4J2D5	YP_010097624.1	0.061
A0A0B4J2D5	YP_008145314.1	0.102
A0A0B4J2D5	YP_009703122.1	0.10400000000000001
A0A0B4J2D5	AAC64687.1	0.085
A0A0B4J2D5	YP_010113272.1	0.136
A0A0B4J2D5	CAP08117.1	0.115
A0A0B4J2D5	YP_006331066.1	0.087
A0A0B4J2D5	NP_044212.1	0.10099999999999999
A0A0B4J2D5	YP_009252270.1	0.077
A0A0B4J2D5	YP_009344867.1	0.091
A0A0B4J2D5	YP_214164.1	0.071
A0A0B4J2D5	YP_007974229.1	0.073
A0A0B4J2D5	AAD21408.1	0.136
A0A0B4J2D5	YP_010097085.1	0.083
A0A0B4J2D5	YP_009094043.1	0.084
A0A0B4J2D5	NP_570822.1	0.079
A0A0B4J2D5	YP_068126.1	0.135
A0A0B4J2D5	CAZ86702.1	0.115
A0A0B4J2D5	YP_010113366.1	0.087
A0A0B4J2D5	AEV55065.1	0.07400000000000001
A0A0B4J2D5	CAP08123.1	0.053
A0A0B4J2D5	YP_009252241.1	0.08900000000000001
A0A0B4J2D5	YP_010097659.1	0.08900000000000001
A0A0B4J2D5	YP_010097074.1	0.062
A0A0B4J2D5	YP_009408614.1	0.047
A0A0B4J2D5	YP_010113390.1	0.085
A0A0B4J2D5	YP_003896055.1	0.099
A0A0B4J2D5	YP_067942.1	0.091
A0A0B4J2D5	CAP08168.1	0.098
A0A0B4J2D5	YP_009252352.1	0.11699999999999999
A0A0B4J2D5	YP_004346944.1	0.113
A0A0B4J2D5	YP_009552100.1	0.09300000000000001
A0A0B4J2D5	YP_009703160.1	0.11
A0A0B4J2D5	YP_009344837.1	0.121
A0A0B4J2D5	YP_005296347.1	0.049
A0A0B4J2D5	YP_009344828.1	0.091
A0A0B4J2D5	CAP08071.1	0.075
A0A0B4J2D5	YP_010113259.1	0.064
A0A0B4J2D5	NP_570821.1	0.079
A0A0B4J2D5	AEV55037.1	0.085
A0A0B4J2D5	YP_004123757.1	0.159
A0A0B4J2D5	AAD21353.1	0.121
A0A0B4J2D5	YP_009703137.1	0.08800000000000001
A0A0B4J2D5	YP_010097093.1	0.09300000000000001
A0A0B4J2D5	YP_010113273.1	0.087
A0A0B4J2D5	YP_009030025.1	0.085
A0A0B4J2D5	YP_009551990.1	0.083
A0A0B4J2D5	AEV54979.1	0.113
A0A0B4J2D5	YP_004346948.1	0.114
A0A0B4J2D5	CAP08115.1	0.10099999999999999
A0A0B4J2D5	NP_058428.1	0.107
A0A0B4J2D5	YP_182400.1	0.092
A0A0B4J2D5	YP_214077.1	0.099
A0A0B4J2D5	YP_068266.1	0.084
A0A0B4J2D5	YP_009344950.1	0.079
A0A0B4J2D5	AFD21933.1	0.14300000000000002
A0A0B4J2D5	ACA24943.1	0.069
A0A0B4J2D5	YP_010097674.1	0.091
A0A0B4J2D5	YP_009344912.1	0.073
A0A0B4J2D5	YP_010113332.1	0.081
A0A0B4J2D5	YP_010113401.1	0.09
A0A0B4J2D5	CAP08161.1	0.09699999999999999
A0A0B4J2D5	YP_214037.1	0.07400000000000001
A0A0B4J2D5	AFD21999.1	0.113
A0A0B4J2D5	YP_009553675.1	0.10400000000000001
A0A0B4J2D5	NP_570767.1	0.124
A0A0B4J2D5	YP_005296370.1	0.08800000000000001
A0A0B4J2D5	NP_570231.1	0.092
A0A0B4J2D5	YP_068353.1	0.091
A0A0B4J2D5	AAD21404.1	0.09300000000000001
A0A0B4J2D5	NP_570237.1	0.08900000000000001
A0A0B4J2D5	NP_015532.1	0.09699999999999999
A0A0B4J2D5	YP_214035.1	0.115
A0A0B4J2D5	YP_001034008.1	0.073
A0A0B4J2D5	AAT95219.1	0.099
A0A0B4J2D5	YP_009703068.1	0.115
A0A0B4J2D5	AEP82753.1	0.091
A0A0B4J2D5	YP_214135.1	0.09300000000000001
A0A0B4J2D5	YP_010097098.1	0.075
A0A0B4J2D5	YP_008720072.1	0.09300000000000001
A0A0B4J2D5	BAA82892.1	0.09300000000000001
A0A0B4J2D5	YP_009054987.1	0.10400000000000001
A0A0B4J2D5	YP_009667151.1	0.077
A0A0B4J2D5	AAD21345.1	0.099
A0A0B4J2D5	CAP08163.1	0.102
A0A0B4J2D5	NP_570786.1	0.077
A0A0B4J2D5	AP_000255.1	0.127
A0A0B4J2D5	YP_010113372.1	0.08900000000000001
A0A0B4J2D5	YP_008145322.1	0.09300000000000001
A0A0B4J2D5	YP_009109585.1	0.08900000000000001
A0A0B4J2D5	YP_009552120.1	0.11699999999999999
A0A0B4J2D5	NP_570813.1	0.079
A0A0B4J2D5	YP_004346910.1	0.098
A0A0B4J2D5	YP_009252287.1	0.08800000000000001
A0A0B4J2D5	YP_182398.1	0.086
A0A0B4J2D5	YP_009344880.1	0.106
A0A0B4J2D5	YP_009252260.1	0.095
A0A0B4J2D5	YP_001034004.1	0.138
A0A0B4J2D5	YP_004123758.1	0.145
A0A0B4J2D5	AEV55028.1	0.067
A0A0B4J2D5	YP_173325.1	0.096
A0A0B4J2D5	YP_214124.1	0.087
A0A0B4J2D5	YP_068377.2	0.055
A0A0B4J2D5	CAP08153.1	0.107
A0A0B4J2D5	AFD22083.1	0.099
A0A0B4J2D5	YP_009508803.1	0.081
A0A0B4J2D5	YP_004956723.1	0.07200000000000001
A0A0B4J2D5	YP_001033929.1	0.109
A0A0B4J2D5	YP_005296349.1	0.07
A0A0B4J2D5	YP_009508840.1	0.10300000000000001
A0A0B4J2D5	YP_010086828.1	0.09699999999999999
A0A0B4J2D5	ACN89732.1	0.08900000000000001
A0A0B4J2D5	YP_001331031.1	0.085
A0A0B4J2D5	YP_182388.1	0.09
A0A0B4J2D5	NP_570818.1	0.095
A0A0B4J2D5	YP_008492983.1	0.10400000000000001
A0A0B4J2D5	CAP08210.1	0.08800000000000001
A0A0B4J2D5	YP_009337824.1	0.08800000000000001
A0A0B4J2D5	NP_066853.2	0.085
A0A0B4J2D5	ABG89314.1	0.10400000000000001
A0A0B4J2D5	YP_009199247.1	0.095
A0A0B4J2D5	CAP08097.1	0.087
A0A0B4J2D5	YP_008493004.1	0.1
A0A0B4J2D5	YP_001034014.1	0.193
A0A0B4J2D5	YP_214047.1	0.079
A0A0B4J2D5	YP_005296224.1	0.075
A0A0B4J2D5	YP_009054993.1	0.099
A0A0B4J2D5	YP_009703183.1	0.07200000000000001
A0A0B4J2D5	NP_570753.1	0.099
A0A0B4J2D5	YP_009380532.1	0.09300000000000001
A0A0B4J2D5	AEV55026.1	0.095
A0A0B4J2D5	YP_010097698.1	0.096
A0A0B4J2D5	YP_009703092.1	0.111
A0A0B4J2D5	YP_010113317.1	0.08800000000000001
A0A0B4J2D5	YP_214051.1	0.115
A0A0B4J2D5	YP_009109620.1	0.09699999999999999
A0A0B4J2D5	YP_010097683.1	0.092
A0A0B4J2D5	YP_005296204.1	0.07
A0A0B4J2D5	YP_009505573.1	0.09699999999999999
A0A0B4J2D5	YP_004021924.1	0.075
A0A0B4J2D5	YP_182337.1	0.084
A0A0B4J2D5	YP_214079.1	0.12
A0A0B4J2D5	YP_010097068.1	0.10099999999999999
A0A0B4J2D5	YP_004346951.1	0.095
A0A0B4J2D5	YP_214116.1	0.107
A0A0B4J2D5	YP_008493003.1	0.081
A0A0B4J2D5	YP_068326.1	0.071
A0A0B4J2D5	YP_008492955.1	0.067
A0A0B4J2D5	YP_008493019.1	0.079
A0A0B4J2D5	YP_003896047.1	0.083
A0A0B4J2D5	NP_066907.1	0.099
A0A0B4J2D5	ACN89695.1	0.094
A0A0B4J2D5	YP_009703066.1	0.095
A0A0B4J2D5	AER30023.1	0.105
A0A0B4J2D5	ACU27446.1	0.111
A0A0B4J2D5	NP_066891.2	0.105
A0A0B4J2D5	YP_214086.1	0.059000000000000004
A0A0B4J2D5	YP_009506306.1	0.10300000000000001
A0A0B4J2D5	YP_009505552.1	0.08199999999999999
A0A0B4J2D5	AEP04094.1	0.064
A0A0B4J2D5	AEV55001.1	0.077
A0A0B4J2D5	CAP08114.1	0.076
A0A0B4J2D5	YP_009344919.1	0.053
A0A0B4J2D5	YP_007974228.1	0.105
A0A0B4J2D5	YP_009344953.1	0.091
A0A0B4J2D5	AP_000360.1	0.073
A0A0B4J2D5	YP_005296331.1	0.059000000000000004
A0A0B4J2D5	AP_000075.1	0.135
A0A0B4J2D5	NP_040834.1	0.115
A0A0B4J2D5	YP_005296192.1	0.08800000000000001
A0A0B4J2D5	YP_008492988.1	0.09300000000000001
A0A0B4J2D5	YP_009408607.1	0.10300000000000001
A0A0B4J2D5	AFD97609.1	0.085
A0A0B4J2D5	YP_005296201.1	0.10300000000000001
A0A0B4J2D5	YP_009344956.1	0.091
A0A0B4J2D5	AAD21372.1	0.067
A0A0B4J2D5	YP_182354.1	0.129
A0A0B4J2D5	ACN89715.1	0.08900000000000001
A0A0B4J2D5	YP_010113388.1	0.09300000000000001
A0A0B4J2D5	YP_214033.1	0.096
A0A0B4J2D5	YP_068112.1	0.091
A0A0B4J2D5	YP_009679042.1	0.069
A0A0B4J2D5	YP_009703204.1	0.085
A0A0B4J2D5	NP_066879.1	0.09699999999999999
A0A0B4J2D5	YP_009252346.1	0.095
A0A0B4J2D5	CAP08068.1	0.096
A0A0B4J2D5	YP_009196.1	0.08199999999999999
A0A0B4J2D5	YP_008493015.1	0.081
A0A0B4J2D5	YP_004346934.1	0.11
A0A0B4J2D5	YP_008492978.1	0.086
A0A0B4J2D5	YP_009703139.1	0.099
A0A0B4J2D5	YP_068156.1	0.121
A0A0B4J2D5	CAP08086.1	0.107
A0A0B4J2D5	YP_009344833.1	0.091
A0A0B4J2D5	YP_010097701.1	0.09699999999999999
A0A0B4J2D5	NP_066889.1	0.11900000000000001
A0A0B4J2D5	YP_007974230.1	0.09300000000000001
A0A0B4J2D5	YP_009109623.1	0.098
A0A0B4J2D5	ACA24941.1	0.057
A0A0B4J2D5	YP_009508838.1	0.092
A0A0B4J2D5	YP_005296199.1	0.078
A0A0B4J2D5	YP_008492969.1	0.083
A0A0B4J2D5	YP_173333.1	0.094
A0A0B4J2D5	ABG89315.1	0.105
A0A0B4J2D5	YP_009344879.1	0.068
A0A0B4J2D5	YP_214142.1	0.09
A0A0B4J2D5	YP_009344889.1	0.099
A0A0B4J2D5	YP_009703196.1	0.092
A0A0B4J2D5	YP_008145319.1	0.075
A0A0B4J2D5	YP_068099.1	0.068
A0A0B4J2D5	YP_004956721.1	0.085
A0A0B4J2D5	YP_010097687.1	0.07
A0A0B4J2D5	YP_009344947.1	0.094
A0A0B4J2D5	YP_004346916.1	0.129
A0A0B4J2D5	YP_010113410.1	0.09
A0A0B4J2D5	NP_570759.1	0.096
A0A0B4J2D5	AGK45267.1	0.07400000000000001
A0A0B4J2D5	YP_009703114.1	0.059000000000000004
A0A0B4J2D5	YP_009337632.1	0.063
A0A0B4J2D5	YP_010113311.1	0.091
A0A0B4J2D5	YP_009344877.1	0.09300000000000001
A0A0B4J2D5	AFD21967.1	0.149
A0A0B4J2D5	YP_009703151.1	0.11
A0A0B4J2D5	YP_009140482.1	0.09
A0A0B4J2D5	YP_068263.1	0.073
A0A0B4J2D5	YP_007974227.1	0.077
A0A0B4J2D5	YP_009252276.1	0.08199999999999999
A0A0B4J2D5	CAP08111.1	0.075
A0A0B4J2D5	CAP08089.1	0.091
A0A0B4J2D5	YP_009344848.1	0.106
A0A0B4J2D5	YP_068174.1	0.149
A0A0B4J2D5	AP_000361.1	0.157
A0A0B4J2D5	NP_015549.1	0.076
A0A0B4J2D5	YP_009054985.1	0.08199999999999999
A0A0B4J2D5	YP_068255.1	0.105
A0A0B4J2D5	YP_010113292.1	0.075
A0A0B4J2D5	YP_214098.1	0.10800000000000001
A0A0B4J2D5	YP_005296216.1	0.10099999999999999
A0A0B4J2D5	NP_047410.1	0.077
A0A0B4J2D5	YP_214070.1	0.08900000000000001
A0A0B4J2D5	YP_008136241.1	0.08800000000000001
A0A0B4J2D5	YP_009252366.1	0.09
A0A0B4J2D5	YP_214074.1	0.091
A0A0B4J2D5	YP_005296341.1	0.08800000000000001
A0A0B4J2D5	CAP08070.1	0.10300000000000001
A0A0B4J2D5	YP_214054.1	0.086
A0A0B4J2D5	AGK45268.1	0.08800000000000001
A0A0B4J2D5	YP_008720075.1	0.071
A0A0B4J2D5	YP_009380530.1	0.081
A0A0B4J2D5	YP_214126.1	0.105
A0A0B4J2D5	YP_009337833.1	1.0
A0A0B4J2D5	YP_068264.1	0.095
A0A0B4J2D5	YP_009199245.1	0.10099999999999999
A0A0B4J2D5	YP_068247.1	0.098
A0A0B4J2D5	YP_009337631.1	0.102
A0A0B4J2D5	BAA82897.1	0.066
A0A0B4J2D5	AEV54977.1	0.175
A0A0B4J2D5	YP_182410.1	0.073
A0A0B4J2D5	YP_214078.1	0.083
A0A0B4J2D5	YP_010113383.1	0.09699999999999999
