virus_unid	human_unid	rank	allnum
P08669	Q06418	27	1418
P08669	Q6UXB4	153	1418
P08669	P30530	360	1418
P08669	Q96D42	687	1418
P08669	Q14118	723	1418
P08669	Q9NNX6	1012	1418
P08669	P11279	1299	1418
P09991	Q06418	22	1418
P09991	Q6UXB4	128	1418
P09991	P30530	392	1418
P09991	Q14118	768	1418
P09991	Q9NNX6	992	1418
P0DTC2	P30530	342	1418
P0DTC2	Q9BYF1	706	1418
P0DTC2	Q8WTV0	1011	1418
P0DTC2	O14786	1285	1418
P10269	Q15758	1002	1418
P11261	Q8WUM9	88	1418
P11261	Q08357	780	1418
P12640	Q15223	376	1418
P12640	P15151	1137	1418
P15423	Q9H2X3	1100	1418
P15423	P15144	1247	1418
P17763	Q06418	22	1418
P17763	P30530	339	1418
P17763	Q96D42	614	1418
P17763	Q9NNX6	985	1418
P17763	P08865	1136	1418
P17763	Q9NY25	1147	1418
P17763	O95832	1215	1418
P19725	Q16653	1389	1418
P21415	Q08357	46	1418
P21415	Q8WUM9	1050	1418
P22055	P08174	269	1418
P22055	P05362	543	1418
P24994	Q92692	421	1418
P24994	Q92956	710	1418
P24994	Q9NNX6	1011	1418
P24994	Q15223	1021	1418
P27285	P08865	1138	1418
P27395	Q9BX97	27	1418
P27395	Q6UXB4	116	1418
P27395	Q9H2X3	508	1418
P27395	Q9NNX6	966	1418
P27395	P0CG01	1390	1418
P27958	P00533	49	1418
P27958	P29317	186	1418
P27958	Q8WTV0	502	1418
P27958	P02786	685	1418
P27958	P01130	809	1418
P27958	Q9NNX6	836	1418
P27958	Q16625	999	1418
P27958	O95832	1043	1418
P27958	Q9H2X3	1099	1418
P27958	P60033	1185	1418
P28864	P15529	284	1418
P31791	Q15758	1005	1418
P36320	P43489	1314	1418
P36329	P08865	19	1418
P52352	P01730	86	1418
Q02076	Q9Y5Y0	606	1418
Q5XXP3	P35232	625	1418
Q5XXP3	Q9BRK3	1121	1418
Q66575	P08174	241	1418
Q66765	P19320	113	1418
Q6IUF7	P02786	722	1418
Q6JC40	P08865	18	1418
Q6Q1S2	Q9BYF1	777	1418
Q6UY73	P02786	712	1418
Q6WB94	P08648	775	1418
Q6WB94	P05556	863	1418
Q84168	Q14118	1175	1418
Q8AYW1	P02786	708	1418
Q8B121	Q14118	788	1418
Q9E006	Q08174	962	1418
Q9IH62	P52799	266	1418
Q9IH62	Q15768	622	1418
Q9PZT0	P08648	629	1418
Q9PZT0	P05556	878	1418
Q9Q6P4	P05106	115	1418
Q9Q6P4	Q9NNX6	127	1418
Q9Q6P4	Q9H2X3	216	1418
Q9Q6P4	P06756	1362	1418
Q9QL88	P78310	1252	1418
Q9YLG5	P78310	1251	1418
QJA10589	P08174	105	1418
QNN25832	Q96MU8	647	1418
QWM97554	P08174	173	1418
QZA87423	P78310	1388	1418
YP_001552435	Q6ZTQ4	68	1418
YP_002213828	P33681	143	1418
YP_002213828	P42081	685	1418
YP_002213828	P15529	832	1418
YP_009505605	P08174	126	1418
YP_009505605	Q9UMF0	922	1418
YP_009505617	P06756	409	1418
YP_009505617	P05106	1131	1418
YP_068048	P78310	1315	1418
YP_068330	Q92692	502	1418
YP_068330	Q15223	1023	1418
YP_068330	P15151	1040	1418
YP_077180	P08865	17	1418
YP_081514	P00533	51	1418
YP_081514	A6ND48	270	1418
YP_081514	P05106	349	1418
YP_081514	P05556	367	1418
YP_081514	Q9NNX6	857	1418
YP_081514	P06756	1047	1418
YP_081514	Q9H2X3	1100	1418
YP_081514	P15144	1234	1418
