virus_unid	human_unid	pred_score
Q9Q6P4	O15374	0.038
Q9Q6P4	P04211	0.053
Q9Q6P4	Q9NWF4	0.034
Q9Q6P4	P51654	0.061
Q9Q6P4	P54762	0.070
Q9Q6P4	P0DOY3	0.068
Q9Q6P4	O14944	0.059
Q9Q6P4	Q13936	0.069
Q9Q6P4	Q96F05	0.060
Q9Q6P4	Q01814	0.126
Q9Q6P4	Q14118	0.098
Q9Q6P4	O00476	0.045
Q9Q6P4	Q8NH01	0.025
Q9Q6P4	Q96NR3	0.041
Q9Q6P4	Q9Y5Y0	0.052
Q9Q6P4	P38484	0.061
Q9Q6P4	O95477	0.149
Q9Q6P4	P53985	0.062
Q9Q6P4	P62079	0.053
Q9Q6P4	P30968	0.035
Q9Q6P4	A0A0B4J1X8	0.060
Q9Q6P4	Q86V35	0.101
Q9Q6P4	P0C623	0.037
Q9Q6P4	Q86SQ3	0.037
Q9Q6P4	P35968	0.057
Q9Q6P4	Q14832	0.061
Q9Q6P4	P24530	0.043
Q9Q6P4	P63244	0.077
Q9Q6P4	P07948	0.105
Q9Q6P4	Q6UX82	0.045
Q9Q6P4	Q8WWG1	0.046
Q9Q6P4	Q92633	0.058
Q9Q6P4	Q7Z2K8	0.067
Q9Q6P4	P07949	0.052
Q9Q6P4	P0DOY2	0.074
Q9Q6P4	Q7RTX1	0.029
Q9Q6P4	P11912	0.051
Q9Q6P4	Q9HAB3	0.037
Q9Q6P4	P20138	0.047
Q9Q6P4	A0A0K0K1C4	0.055
Q9Q6P4	P55042	0.069
Q9Q6P4	A0A0K0K1D8	0.065
Q9Q6P4	O75131	0.075
Q9Q6P4	Q9BXN2	0.033
Q9Q6P4	Q9P273	0.066
Q9Q6P4	P36897	0.056
Q9Q6P4	P47898	0.046
Q9Q6P4	A0A0B4J1Y8	0.050
Q9Q6P4	P21802	0.066
Q9Q6P4	Q7RTY1	0.043
Q9Q6P4	Q8IWV2	0.070
Q9Q6P4	Q9BX59	0.044
Q9Q6P4	Q9H3R2	0.044
Q9Q6P4	O00533	0.071
Q9Q6P4	P19235	0.061
Q9Q6P4	A0A075B6I0	0.048
Q9Q6P4	Q08708	0.053
Q9Q6P4	P48039	0.045
Q9Q6P4	A0A0B4J262	0.050
Q9Q6P4	P48145	0.040
Q9Q6P4	Q96B33	0.038
Q9Q6P4	Q86YT6	0.102
Q9Q6P4	P10912	0.055
Q9Q6P4	Q9UHI5	0.070
Q9Q6P4	Q99705	0.043
Q9Q6P4	P21589	0.106
Q9Q6P4	Q96R54	0.031
Q9Q6P4	P13688	0.057
Q9Q6P4	A0A075B6J2	0.051
Q9Q6P4	Q9NYV7	0.031
Q9Q6P4	P01624	0.056
Q9Q6P4	A0A0C4DH41	0.059
Q9Q6P4	P61224	0.079
Q9Q6P4	Q02223	0.053
Q9Q6P4	P25092	0.043
Q9Q6P4	P40199	0.047
Q9Q6P4	Q9Y345	0.064
Q9Q6P4	P08913	0.059
Q9Q6P4	Q58EX2	0.065
Q9Q6P4	P0DP58	0.061
Q9Q6P4	O43508	0.055
Q9Q6P4	Q8IWE4	0.045
Q9Q6P4	Q9Y2I2	0.025
Q9Q6P4	Q86VB7	0.067
Q9Q6P4	O15162	0.056
Q9Q6P4	Q86WB7	0.042
Q9Q6P4	Q2HXU8	0.041
Q9Q6P4	P34810	0.030
Q9Q6P4	P01704	0.052
Q9Q6P4	Q9NR61	0.055
Q9Q6P4	Q14973	0.041
Q9Q6P4	P63000	0.063
Q9Q6P4	Q13467	0.059
Q9Q6P4	Q30154	0.039
Q9Q6P4	O15393	0.041
Q9Q6P4	P18848	0.071
Q9Q6P4	P20273	0.044
Q9Q6P4	P58743	0.071
Q9Q6P4	Q5DID0	0.032
Q9Q6P4	O14638	0.034
Q9Q6P4	A0A0B4J274	0.057
Q9Q6P4	A0A075B6K4	0.053
Q9Q6P4	P32239	0.040
Q9Q6P4	Q96NY8	0.062
Q9Q6P4	P80748	0.045
Q9Q6P4	P58173	0.023
Q9Q6P4	P13569	0.091
Q9Q6P4	Q86UF1	0.056
Q9Q6P4	P82251	0.070
Q9Q6P4	Q06787	0.097
Q9Q6P4	P0CG01	0.063
Q9Q6P4	P26006	0.073
Q9Q6P4	P26718	0.033
Q9Q6P4	P51681	0.033
Q9Q6P4	P33151	0.047
Q9Q6P4	Q9BZR6	0.030
Q9Q6P4	P50150	0.079
Q9Q6P4	Q96RI9	0.038
Q9Q6P4	P63215	0.071
Q9Q6P4	P49238	0.045
Q9Q6P4	P56817	0.048
Q9Q6P4	O15552	0.047
Q9Q6P4	P63218	0.083
Q9Q6P4	P01742	0.077
Q9Q6P4	Q6ZQN7	0.038
Q9Q6P4	Q9BV40	0.087
Q9Q6P4	P54709	0.061
Q9Q6P4	P01714	0.052
Q9Q6P4	Q9HBB8	0.064
Q9Q6P4	O60755	0.032
Q9Q6P4	Q14773	0.039
Q9Q6P4	P41146	0.037
Q9Q6P4	P17181	0.053
Q9Q6P4	P41968	0.032
Q9Q6P4	P15144	0.077
Q9Q6P4	Q7L0Q8	0.065
Q9Q6P4	P47888	0.036
Q9Q6P4	Q14330	0.048
Q9Q6P4	P53618	0.174
Q9Q6P4	O94856	0.080
Q9Q6P4	P01717	0.047
Q9Q6P4	P0DPF4	0.059
Q9Q6P4	Q15303	0.085
Q9Q6P4	P21709	0.049
Q9Q6P4	O95867	0.063
Q9Q6P4	P13945	0.034
Q9Q6P4	Q9NRA1	0.039
Q9Q6P4	P79483	0.037
Q9Q6P4	P61586	0.087
Q9Q6P4	Q16820	0.056
Q9Q6P4	P22732	0.056
Q9Q6P4	Q13002	0.067
Q9Q6P4	Q8NH72	0.027
Q9Q6P4	A0A0B4J248	0.048
Q9Q6P4	P16871	0.029
Q9Q6P4	P01706	0.049
Q9Q6P4	Q9UNQ0	0.064
Q9Q6P4	Q8NFP4	0.053
Q9Q6P4	P0CG04	0.065
Q9Q6P4	P0C7T3	0.036
Q9Q6P4	Q8WY64	0.037
Q9Q6P4	P51151	0.070
Q9Q6P4	P62330	0.092
Q9Q6P4	P56539	0.066
Q9Q6P4	P01824	0.047
Q9Q6P4	Q6UWL6	0.035
Q9Q6P4	Q8TCW9	0.059
Q9Q6P4	P06731	0.041
Q9Q6P4	Q495A1	0.059
Q9Q6P4	Q8NI17	0.060
Q9Q6P4	P08174	0.025
Q9Q6P4	P55899	0.055
Q9Q6P4	Q15669	0.061
Q9Q6P4	P51685	0.035
Q9Q6P4	Q99075	0.053
Q9Q6P4	Q15109	0.049
Q9Q6P4	P01903	0.065
Q9Q6P4	Q14574	0.065
Q9Q6P4	P12931	0.066
Q9Q6P4	P01861	0.025
Q9Q6P4	Q92482	0.065
Q9Q6P4	Q9BXT2	0.060
Q9Q6P4	P01768	0.071
Q9Q6P4	P60763	0.079
Q9Q6P4	P21860	0.078
Q9Q6P4	Q9NRM0	0.065
Q9Q6P4	P22681	0.063
Q9Q6P4	O94956	0.043
Q9Q6P4	O14493	0.059
Q9Q6P4	Q9NQC7	0.093
Q9Q6P4	Q9NPH3	0.057
Q9Q6P4	A0A0B4J234	0.054
Q9Q6P4	P11234	0.089
Q9Q6P4	P57735	0.081
Q9Q6P4	P60507	0.037
Q9Q6P4	A0A0B4J1Y9	0.062
Q9Q6P4	A6NF89	0.022
Q9Q6P4	Q5SSG8	0.053
Q9Q6P4	Q9GZQ4	0.039
Q9Q6P4	Q6UXK2	0.057
Q9Q6P4	A0A1B0GX68	0.057
Q9Q6P4	Q9BZM2	0.051
Q9Q6P4	Q04900	0.046
Q9Q6P4	P0DMS8	0.035
Q9Q6P4	P0DP07	0.054
Q9Q6P4	Q16625	0.095
Q9Q6P4	A6ND48	0.033
Q9Q6P4	P35916	0.047
Q9Q6P4	Q5MY95	0.033
Q9Q6P4	Q99497	0.106
Q9Q6P4	O95500	0.057
Q9Q6P4	Q15762	0.043
Q9Q6P4	P04921	0.067
Q9Q6P4	Q6UY09	0.033
Q9Q6P4	P17813	0.046
Q9Q6P4	Q9Y5N1	0.047
Q9Q6P4	P49006	0.083
Q9Q6P4	Q9HC73	0.056
Q9Q6P4	Q8NHC7	0.023
Q9Q6P4	P60953	0.095
Q9Q6P4	Q9H2X3	0.055
Q9Q6P4	Q9Y639	0.059
Q9Q6P4	P15328	0.038
Q9Q6P4	O15056	0.067
Q9Q6P4	Q9UI14	0.065
Q9Q6P4	P34903	0.057
Q9Q6P4	P16473	0.038
Q9Q6P4	P06315	0.065
Q9Q6P4	Q9H665	0.043
Q9Q6P4	O00222	0.060
Q9Q6P4	P00533	0.077
Q9Q6P4	P56748	0.052
Q9Q6P4	Q13651	0.043
Q9Q6P4	P29017	0.035
Q9Q6P4	O14931	0.050
Q9Q6P4	P35346	0.042
Q9Q6P4	P48960	0.053
Q9Q6P4	P50052	0.030
Q9Q6P4	O95977	0.038
Q9Q6P4	Q96FL8	0.039
Q9Q6P4	A0A075B6U4	0.053
Q9Q6P4	A0A075B6J1	0.055
Q9Q6P4	Q9NP72	0.093
Q9Q6P4	P46934	0.091
Q9Q6P4	P01833	0.057
Q9Q6P4	P13987	0.047
Q9Q6P4	Q9NRM6	0.049
Q9Q6P4	Q9UQ52	0.057
Q9Q6P4	Q99578	0.089
Q9Q6P4	Q96R67	0.021
Q9Q6P4	P48165	0.086
Q9Q6P4	A0A0G2JMI3	0.093
Q9Q6P4	P41180	0.063
Q9Q6P4	Q9UIA0	0.088
Q9Q6P4	P55064	0.067
Q9Q6P4	O00155	0.034
Q9Q6P4	A0A0C4DH55	0.055
Q9Q6P4	P06028	0.056
Q9Q6P4	A0A0C4DH59	0.042
Q9Q6P4	Q99624	0.043
Q9Q6P4	Q14714	0.044
Q9Q6P4	Q96CW9	0.037
Q9Q6P4	Q9H244	0.037
Q9Q6P4	Q96JJ6	0.054
Q9Q6P4	P51686	0.047
Q9Q6P4	Q9BPV8	0.043
Q9Q6P4	Q8N4C7	0.065
Q9Q6P4	P56750	0.055
Q9Q6P4	A0A5A6	0.060
Q9Q6P4	O00591	0.049
Q9Q6P4	Q8NBV8	0.053
Q9Q6P4	P21918	0.035
Q9Q6P4	P57764	0.041
Q9Q6P4	A0A075B6X5	0.050
Q9Q6P4	O95069	0.097
Q9Q6P4	P49841	0.073
Q9Q6P4	P08588	0.036
Q9Q6P4	Q96PL2	0.039
Q9Q6P4	P60201	0.053
Q9Q6P4	Q9H209	0.028
Q9Q6P4	O00574	0.023
Q9Q6P4	P02786	0.122
Q9Q6P4	Q07021	0.067
Q9Q6P4	Q8IZA0	0.062
Q9Q6P4	A0A087WT02	0.055
Q9Q6P4	Q9BZW8	0.044
Q9Q6P4	Q9BY10	0.039
Q9Q6P4	Q9Y5Y3	0.031
Q9Q6P4	Q9UKL4	0.043
Q9Q6P4	P14222	0.039
Q9Q6P4	P42081	0.040
Q9Q6P4	O14514	0.059
Q9Q6P4	Q03431	0.061
Q9Q6P4	P01116	0.094
Q9Q6P4	Q8WWQ8	0.069
Q9Q6P4	P32302	0.023
Q9Q6P4	Q9P232	0.053
Q9Q6P4	P60880	0.093
Q9Q6P4	P04433	0.060
Q9Q6P4	Q969P0	0.037
Q9Q6P4	Q9UKP6	0.039
Q9Q6P4	Q9Y6Q6	0.047
Q9Q6P4	Q8NCK7	0.033
Q9Q6P4	Q8TD46	0.049
Q9Q6P4	Q9HBW0	0.035
Q9Q6P4	Q99527	0.041
Q9Q6P4	Q9UN74	0.050
Q9Q6P4	P35590	0.045
Q9Q6P4	P56880	0.046
Q9Q6P4	P15260	0.067
Q9Q6P4	P41597	0.043
Q9Q6P4	P08571	0.053
Q9Q6P4	Q8TCQ1	0.055
Q9Q6P4	P20701	0.061
Q9Q6P4	P48023	0.049
Q9Q6P4	Q92956	0.040
Q9Q6P4	P01780	0.063
Q9Q6P4	Q8IVV8	0.046
Q9Q6P4	P07333	0.115
Q9Q6P4	Q9NT99	0.083
Q9Q6P4	P61952	0.072
Q9Q6P4	O43451	0.057
Q9Q6P4	P49407	0.077
Q9Q6P4	P11142	0.159
Q9Q6P4	Q01726	0.047
Q9Q6P4	Q14833	0.080
Q9Q6P4	Q8NGU9	0.043
Q9Q6P4	Q15761	0.033
Q9Q6P4	A8K7I4	0.057
Q9Q6P4	A0A087WSZ0	0.047
Q9Q6P4	A0A0B4J244	0.081
Q9Q6P4	B6A8C7	0.045
Q9Q6P4	Q99603	0.069
Q9Q6P4	Q9NQX3	0.096
Q9Q6P4	P35348	0.037
Q9Q6P4	Q14002	0.040
Q9Q6P4	P0DP08	0.059
Q9Q6P4	P41594	0.060
Q9Q6P4	Q12836	0.032
Q9Q6P4	Q9GZV3	0.046
Q9Q6P4	Q8NHA6	0.045
Q9Q6P4	Q7Z5A4	0.042
Q9Q6P4	P08887	0.031
Q9Q6P4	O15394	0.073
Q9Q6P4	O15427	0.047
Q9Q6P4	P40238	0.032
Q9Q6P4	O43493	0.088
Q9Q6P4	Q19T08	0.052
Q9Q6P4	A0A0A0MT76	0.066
Q9Q6P4	Q13698	0.080
Q9Q6P4	P47871	0.037
Q9Q6P4	P51801	0.052
Q9Q6P4	O00212	0.069
Q9Q6P4	Q8NG11	0.051
Q9Q6P4	Q9BWQ8	0.036
Q9Q6P4	Q9H1C0	0.043
Q9Q6P4	P04216	0.045
Q9Q6P4	P31323	0.086
Q9Q6P4	A0A075B6I6	0.049
Q9Q6P4	P49281	0.043
Q9Q6P4	Q9NR16	0.049
Q9Q6P4	A0A1B0GX51	0.065
Q9Q6P4	P54756	0.063
Q9Q6P4	P61550	0.029
Q9Q6P4	Q15768	0.044
Q9Q6P4	Q9NS67	0.046
Q9Q6P4	Q9NSA0	0.033
Q9Q6P4	O75581	0.053
Q9Q6P4	P25103	0.039
Q9Q6P4	P08473	0.071
Q9Q6P4	P37088	0.055
Q9Q6P4	P09104	0.139
Q9Q6P4	P16234	0.075
Q9Q6P4	Q9BZJ7	0.031
Q9Q6P4	Q2M3R5	0.049
Q9Q6P4	O43193	0.037
Q9Q6P4	P60508	0.042
Q9Q6P4	Q8WUM9	0.088
Q9Q6P4	P08173	0.077
Q9Q6P4	P84095	0.059
Q9Q6P4	Q8NGF9	0.027
Q9Q6P4	Q8TDS5	0.045
Q9Q6P4	P31751	0.083
Q9Q6P4	P53708	0.052
Q9Q6P4	Q6ZS10	0.057
Q9Q6P4	Q9NNX6	0.059
Q9Q6P4	A0A0G2JS06	0.049
Q9Q6P4	Q02413	0.068
Q9Q6P4	Q7Z444	0.055
Q9Q6P4	P21964	0.067
Q9Q6P4	Q6YHK3	0.049
Q9Q6P4	Q8N3J6	0.059
Q9Q6P4	O14804	0.031
Q9Q6P4	P43088	0.039
Q9Q6P4	P60852	0.031
Q9Q6P4	P08195	0.084
Q9Q6P4	A0A075B6K5	0.049
Q9Q6P4	Q9UMF0	0.037
Q9Q6P4	O14610	0.094
Q9Q6P4	P59768	0.084
Q9Q6P4	P61077	0.071
Q9Q6P4	P35232	0.099
Q9Q6P4	P48167	0.075
Q9Q6P4	P49771	0.041
Q9Q6P4	A0A075B6W5	0.073
Q9Q6P4	P24394	0.035
Q9Q6P4	Q13740	0.052
Q9Q6P4	P06241	0.088
Q9Q6P4	P27701	0.046
Q9Q6P4	Q8IWU6	0.049
Q9Q6P4	O43914	0.051
Q9Q6P4	Q86YL7	0.083
Q9Q6P4	P46721	0.029
Q9Q6P4	P29466	0.059
Q9Q6P4	P01871	0.039
Q9Q6P4	P58181	0.026
Q9Q6P4	Q96E93	0.030
Q9Q6P4	O75508	0.047
Q9Q6P4	P29474	0.049
Q9Q6P4	Q15375	0.060
Q9Q6P4	P25021	0.038
Q9Q6P4	A0A075B6K0	0.050
Q9Q6P4	Q8TDM5	0.050
Q9Q6P4	Q10589	0.077
Q9Q6P4	P62491	0.088
Q9Q6P4	Q99062	0.043
Q9Q6P4	P01709	0.056
Q9Q6P4	Q13336	0.045
Q9Q6P4	Q7Z7D3	0.060
Q9Q6P4	Q15743	0.049
Q9Q6P4	P30939	0.041
Q9Q6P4	Q9NYB5	0.037
Q9Q6P4	P47883	0.031
Q9Q6P4	P30872	0.038
Q9Q6P4	Q8NGC2	0.023
Q9Q6P4	O60412	0.029
Q9Q6P4	O95183	0.083
Q9Q6P4	Q9BRK3	0.051
Q9Q6P4	Q99523	0.061
Q9Q6P4	A0A0C4DH38	0.067
Q9Q6P4	P48357	0.049
Q9Q6P4	P35414	0.045
Q9Q6P4	A0A0A6YYK7	0.067
Q9Q6P4	Q9Y572	0.059
Q9Q6P4	P06858	0.067
Q9Q6P4	Q8NGP2	0.025
Q9Q6P4	O95497	0.033
Q9Q6P4	Q9NV96	0.081
Q9Q6P4	Q13241	0.045
Q9Q6P4	Q8IV16	0.042
Q9Q6P4	Q9UBL9	0.045
Q9Q6P4	O00161	0.122
Q9Q6P4	P01854	0.033
Q9Q6P4	A0A075B6R2	0.057
Q9Q6P4	Q9H9S5	0.054
Q9Q6P4	P30542	0.043
Q9Q6P4	Q13491	0.069
Q9Q6P4	Q9NX77	0.047
Q9Q6P4	Q01650	0.061
Q9Q6P4	Q96DU3	0.054
Q9Q6P4	Q14254	0.135
Q9Q6P4	Q9BXJ7	0.048
Q9Q6P4	P50443	0.061
Q9Q6P4	P55290	0.054
Q9Q6P4	P30530	0.078
Q9Q6P4	A0A0B4J273	0.071
Q9Q6P4	Q8TDU6	0.035
Q9Q6P4	P30273	0.057
Q9Q6P4	P14735	0.082
Q9Q6P4	P01699	0.054
Q9Q6P4	P49682	0.047
Q9Q6P4	O00159	0.060
Q9Q6P4	Q12913	0.055
Q9Q6P4	P29016	0.051
Q9Q6P4	A0M8Q6	0.063
Q9Q6P4	P17931	0.085
Q9Q6P4	Q68D85	0.059
Q9Q6P4	O43157	0.057
Q9Q6P4	P13762	0.039
Q9Q6P4	A0A0B4J240	0.048
Q9Q6P4	Q8NA29	0.047
Q9Q6P4	Q9Y5Q5	0.062
Q9Q6P4	P56746	0.053
Q9Q6P4	A0A0B4J249	0.051
Q9Q6P4	P06733	0.163
Q9Q6P4	P01911	0.039
Q9Q6P4	P51160	0.073
Q9Q6P4	P01772	0.066
Q9Q6P4	P01743	0.083
Q9Q6P4	Q8NGL9	0.030
Q9Q6P4	P46663	0.042
Q9Q6P4	Q7Z3B1	0.047
Q9Q6P4	O60488	0.085
Q9Q6P4	P08865	0.081
Q9Q6P4	P43657	0.033
Q9Q6P4	Q86UE6	0.035
Q9Q6P4	P05023	0.119
Q9Q6P4	A0A075B6S9	0.067
Q9Q6P4	Q9BTN0	0.036
Q9Q6P4	P01880	0.049
Q9Q6P4	Q6UXB4	0.053
Q9Q6P4	Q8TBE7	0.045
Q9Q6P4	P25100	0.040
Q9Q6P4	Q16445	0.047
Q9Q6P4	Q9H4E5	0.067
Q9Q6P4	P13473	0.045
Q9Q6P4	Q08881	0.090
Q9Q6P4	Q8WWA0	0.053
Q9Q6P4	Q9Y271	0.039
Q9Q6P4	Q92637	0.039
Q9Q6P4	Q86Y78	0.036
Q9Q6P4	Q96MU8	0.051
Q9Q6P4	Q9GZZ7	0.036
Q9Q6P4	Q9ULV4	0.067
Q9Q6P4	P49190	0.037
Q9Q6P4	A0A087WT01	0.069
Q9Q6P4	Q5T442	0.065
Q9Q6P4	P35368	0.051
Q9Q6P4	Q9HBW9	0.031
Q9Q6P4	P15391	0.051
Q9Q6P4	P17948	0.051
Q9Q6P4	Q9Y275	0.050
Q9Q6P4	O95484	0.054
Q9Q6P4	P61020	0.083
Q9Q6P4	P0DSN7	0.061
Q9Q6P4	Q9H228	0.039
Q9Q6P4	O15551	0.068
Q9Q6P4	P07911	0.035
Q9Q6P4	P59922	0.035
Q9Q6P4	A0A0C4DH68	0.059
Q9Q6P4	Q53GD3	0.040
Q9Q6P4	Q7RTY0	0.052
Q9Q6P4	P01860	0.029
Q9Q6P4	P14784	0.047
Q9Q6P4	Q08828	0.061
Q9Q6P4	P01602	0.060
Q9Q6P4	O00299	0.073
Q9Q6P4	Q9BRT3	0.103
Q9Q6P4	P51157	0.081
Q9Q6P4	P28223	0.037
Q9Q6P4	Q8WY07	0.051
Q9Q6P4	Q9H2Y9	0.035
Q9Q6P4	P23083	0.061
Q9Q6P4	O60500	0.046
Q9Q6P4	P62834	0.087
Q9Q6P4	Q12974	0.089
Q9Q6P4	Q99467	0.037
Q9Q6P4	P00918	0.049
Q9Q6P4	O95274	0.045
Q9Q6P4	P0CF74	0.069
Q9Q6P4	A0A0B4J279	0.062
Q9Q6P4	P54753	0.061
Q9Q6P4	P01718	0.056
Q9Q6P4	P16410	0.047
Q9Q6P4	Q8NGY0	0.029
Q9Q6P4	P0CG37	0.032
Q9Q6P4	Q9UJU6	0.072
Q9Q6P4	P0DP06	0.063
Q9Q6P4	P19440	0.105
Q9Q6P4	P43119	0.035
Q9Q6P4	Q9UN72	0.055
Q9Q6P4	Q86SQ4	0.042
Q9Q6P4	P31391	0.043
Q9Q6P4	P01763	0.064
Q9Q6P4	P30874	0.047
Q9Q6P4	Q9NQS3	0.057
Q9Q6P4	Q8TCY5	0.049
Q9Q6P4	Q8TDU9	0.035
Q9Q6P4	Q7Z6A9	0.036
Q9Q6P4	Q8N6F1	0.046
Q9Q6P4	O75015	0.033
Q9Q6P4	A0A075B6N1	0.057
Q9Q6P4	P30556	0.031
Q9Q6P4	Q0VAQ4	0.062
Q9Q6P4	Q13449	0.043
Q9Q6P4	O75144	0.033
Q9Q6P4	Q8NGN8	0.030
Q9Q6P4	Q9BXU9	0.087
Q9Q6P4	P05556	0.142
Q9Q6P4	Q9NSD7	0.041
Q9Q6P4	Q12864	0.059
Q9Q6P4	P49019	0.029
Q9Q6P4	P52797	0.058
Q9Q6P4	Q8TAF8	0.057
Q9Q6P4	P07237	0.143
Q9Q6P4	P25089	0.053
Q9Q6P4	P07766	0.060
Q9Q6P4	Q9NP59	0.055
Q9Q6P4	P0DPF7	0.053
Q9Q6P4	Q08462	0.060
Q9Q6P4	Q02487	0.059
Q9Q6P4	Q12884	0.043
Q9Q6P4	Q14677	0.108
Q9Q6P4	Q9UIQ6	0.059
Q9Q6P4	A0A0C4DH39	0.080
Q9Q6P4	Q9H3T3	0.043
Q9Q6P4	Q14956	0.055
Q9Q6P4	P0DP04	0.062
Q9Q6P4	Q13258	0.035
Q9Q6P4	A0A599	0.055
Q9Q6P4	Q9Y5H9	0.051
Q9Q6P4	P60033	0.072
Q9Q6P4	P52569	0.043
Q9Q6P4	Q13685	0.064
Q9Q6P4	P25105	0.037
Q9Q6P4	O43820	0.039
Q9Q6P4	P19320	0.054
Q9Q6P4	Q8NHP6	0.057
Q9Q6P4	O75882	0.056
Q9Q6P4	Q494U1	0.035
Q9Q6P4	P22888	0.032
Q9Q6P4	Q04721	0.131
Q9Q6P4	Q96RI8	0.039
Q9Q6P4	P30559	0.051
Q9Q6P4	Q96GD0	0.039
Q9Q6P4	Q9NSI5	0.045
Q9Q6P4	P12821	0.067
