virus_unid	human_unid	rank	allnum
NP_041009	P05362	567	1408
NP_041277	P15151	397	1408
NP_041332	P48509	135	1408
NP_041332	P23229	933	1408
NP_043941	P08865	547	1408
NP_056788	P26006	1136	1408
NP_056844	P61073	171	1408
NP_056844	P01730	1022	1408
NP_056844	Q9NNX6	1343	1408
NP_057856	P01730	194	1408
NP_057856	P61073	531	1408
NP_057856	Q9H2X3	889	1408
NP_057856	P51681	898	1408
NP_057856	Q9NNX6	1334	1408
O89343	Q15768	119	1408
O89343	P52799	390	1408
O91734	P05556	198	1408
O91734	P17301	439	1408
P03089	P28223	692	1408
P03135	P08865	435	1408
P03135	Q8IZA0	886	1408
P03135	P05556	905	1408
P03135	P08648	1394	1408
P03188	P01911	110	1408
P03188	O43921	114	1408
P03188	P17927	523	1408
P03188	P05556	582	1408
P03188	P20023	846	1408
P03313	P78310	848	1408
P03313	P08174	989	1408
P03522	P01130	925	1408
P03522	Q9P2Y5	1130	1408
P03524	P08138	583	1408
P03524	Q14416	1243	1408
P03524	P13591	1337	1408
P03528	P05556	671	1408
P03528	Q9BZR6	1086	1408
P03528	Q9Y624	1206	1408
P04936	P01130	506	1408
P07575	Q15758	681	1408
P08291	P78310	944	1408
P08291	P18564	1062	1408
P08291	P06756	1145	1408
P08291	P08174	1146	1408
P08617	Q96D42	599	1408
P08668	P05106	593	1408
P08669	Q6UXB4	162	1408
P08669	Q96D42	978	1408
P08669	P11279	1141	1408
P08669	Q06418	1173	1408
P08669	Q14118	1180	1408
P08669	P30530	1318	1408
P08669	Q9NNX6	1398	1408
P09991	Q6UXB4	139	1408
P09991	Q14118	1064	1408
P09991	P30530	1123	1408
P09991	Q06418	1303	1408
P09991	Q9NNX6	1366	1408
P0DTC2	Q9BYF1	633	1408
P0DTC2	P30530	964	1408
P0DTC2	Q8WTV0	1097	1408
P0DTC2	O14786	1199	1408
P10269	Q15758	964	1408
P11261	Q08357	664	1408
P11261	Q8WUM9	706	1408
P12640	P15151	384	1408
P12640	Q15223	844	1408
P15423	Q9H2X3	1072	1408
P15423	P15144	1251	1408
P17763	O95832	110	1408
P17763	P30530	849	1408
P17763	P08865	935	1408
P17763	Q96D42	982	1408
P17763	Q06418	1013	1408
P17763	Q9NY25	1062	1408
P17763	Q9NNX6	1307	1408
P19725	Q16653	145	1408
P21415	Q8WUM9	1029	1408
P21415	Q08357	1335	1408
P22055	P05362	337	1408
P22055	P08174	1073	1408
P24994	Q92956	166	1408
P24994	Q15223	799	1408
P24994	Q9NNX6	1249	1408
P24994	Q92692	1369	1408
P27285	P08865	389	1408
P27395	P0CG01	247	1408
P27395	Q6UXB4	284	1408
P27395	Q9BX97	571	1408
P27395	Q9H2X3	1257	1408
P27395	Q9NNX6	1275	1408
P27958	Q16625	91	1408
P27958	O95832	195	1408
P27958	P01130	473	1408
P27958	P60033	816	1408
P27958	Q8WTV0	900	1408
P27958	P29317	930	1408
P27958	P02786	1009	1408
P27958	Q9H2X3	1230	1408
P27958	P00533	1359	1408
P27958	Q9NNX6	1363	1408
P28864	P15529	473	1408
P31791	Q15758	624	1408
P36320	P43489	37	1408
P36329	P08865	230	1408
P52352	P01730	489	1408
Q02076	Q9Y5Y0	342	1408
Q5XXP3	Q9BRK3	150	1408
Q5XXP3	P35232	950	1408
Q66575	P08174	974	1408
Q66765	P19320	1379	1408
Q6IUF7	P02786	678	1408
Q6JC40	P08865	334	1408
Q6Q1S2	Q9BYF1	1242	1408
Q6UY73	P02786	1112	1408
Q6WB94	P05556	857	1408
Q6WB94	P08648	1408	1408
Q84168	Q14118	828	1408
Q8AYW1	P02786	850	1408
Q8B121	Q14118	1116	1408
Q9E006	Q08174	996	1408
Q9IH62	Q15768	123	1408
Q9IH62	P52799	171	1408
Q9PZT0	P05556	765	1408
Q9PZT0	P08648	1408	1408
Q9Q6P4	Q9H2X3	971	1408
Q9Q6P4	P05106	975	1408
Q9Q6P4	P06756	1185	1408
Q9Q6P4	Q9NNX6	1266	1408
Q9QL88	P78310	872	1408
Q9YLG5	P78310	1192	1408
QJA10589	P08174	879	1408
QNN25832	Q96MU8	1218	1408
QWM97554	P08174	1096	1408
QZA87423	P78310	985	1408
YP_001552435	Q6ZTQ4	1185	1408
YP_002213828	P15529	187	1408
YP_002213828	P33681	657	1408
YP_002213828	P42081	905	1408
YP_009505605	Q9UMF0	1157	1408
YP_009505605	P08174	1235	1408
YP_009505617	P05106	744	1408
YP_009505617	P06756	1279	1408
YP_068048	P78310	735	1408
YP_068330	P15151	347	1408
YP_068330	Q15223	1116	1408
YP_068330	Q92692	1274	1408
YP_077180	P08865	423	1408
YP_081514	P05106	491	1408
YP_081514	P06756	841	1408
YP_081514	A6ND48	903	1408
YP_081514	P05556	987	1408
YP_081514	P00533	1020	1408
YP_081514	P15144	1129	1408
YP_081514	Q9H2X3	1171	1408
YP_081514	Q9NNX6	1243	1408
