human_ids,virus_ids,scores
O75843,P03139,0.9530492424964905
Q9Y2D8,Q20MD0,0.838516354560852
Q14258,B4URA9,0.9037541151046753
Q16666,A0A5J6DW60,0.8477833867073059
P00747,P15240,0.9155722856521606
Q9Y5P4,P03452,0.9217243790626526
O95786,P04543,0.9510614275932312
Q9H1Y0,Q30NB4,0.9832233786582947
Q3ZCQ8,B4URE7,0.9907277822494507
Q9Y4K3,Q6SWB7,0.3684982657432556
Q93009,F5H9G3,0.982073187828064
O15111,P04862,0.9611973762512207
Q9UI95,Q779E8,0.9704329967498779
Q13888,P21698,0.9741635322570801
Q9UIV1,P88937,0.9617094993591309
Q16666,P04291,0.8240656852722168
P18621,A0A5J6DVX6,0.9909154772758484
P60953,Q1K9G9,0.9675530195236206
Q15477,C8XNX3,0.9621448516845703
Q9UHD2,P08353,0.9180042147636414
P27694,A0A0B6VKU0,0.9623021483421326
Q9Y5J9,Q05128,0.9825092554092407
Q9H6X4,Q81871,0.9775058031082153
Q92973,Q1HVF7,0.9714415669441223
Q92793,F5HIC6,0.975578248500824
Q9UKJ1,P06436,0.9707575440406799
P21912,Q98131,0.9545742869377136
Q9HD26,Q6VE52,0.9631130695343018
Q15477,K9N4V0,0.9666519165039062
P04637,Q9QJ49,0.9937962293624878
Q13751,Q3ZK64,0.919517457485199
Q08174,Q9ICL0,0.972995400428772
Q13546,F5HAR0,0.9064440131187439
P0C0L5,P88986,0.1413046270608902
P04083,P04305,0.9517315030097961
P62136,P36313,0.994536817073822
O14646,B2BUF1,0.9330347776412964
Q9Y5K6,Q6SWW3,0.8489845991134644
P63244,Q9Q2P1,0.9911076426506042
P11142,B4UPA8,0.37597134709358215
P13500,O41925,0.9940749406814575
Q9UQ52,P0DKB0,0.9689013957977295
Q8WUM4,O55527,0.3008854389190674
Q14624,Q76R62,0.8865963816642761
Q15397,P88940,0.9390217661857605
P46108,Q2PJP0,0.9277172684669495
P35968,P52584,0.9590211510658264
P06400,Q6SW29,0.9905383586883545
P18848,P06929,0.9397702217102051
Q9HD26,Q9IBY5,0.9714068174362183
P61221,Q9WH76,0.9299343824386597
Q9UBX5,P0CK47,0.9908525347709656
O00410,Q9YKI3,0.9602514505386353
Q12959,Q9ICL1,0.9888086915016174
Q14318,O39474,0.2164164036512375
Q08431,P06461,0.981453537940979
P20591,Q8JPR0,0.910615086555481
Q6UXV4,P88988,0.9585421681404114
Q96RT1,A3EXD4,0.7448594570159912
Q06124,P88959,0.9176826477050781
Q16666,F8RE30,0.8076390027999878
Q86VP6,Q6TVJ1,0.9482881426811218
Q05086,P23372,0.9759575724601746
P78352,Q0A2H0,0.9607244729995728
O00566,R9UMC1,0.7831169962882996
P51784,Q9DLK6,0.9868380427360535
Q99759,Q6DP93,0.9468109011650085
O15118,X5HMX4,0.9468183517456055
P42224,A4GDF4,0.5224723219871521
Q9UL40,I6TAG8,0.932453989982605
P15311,P03485,0.9769973754882812
P28799,Q69114,0.41333580017089844
P62258,A0A7S4U3Y4,0.997841477394104
Q9Y5M8,B9UPF3,0.4080730378627777
P0CG48,P10211,0.9798768162727356
Q96DU3,D3JIT8,0.9597844481468201
P42224,Q76RC6,0.5224723219871521
P04792,Q805P6,0.9852149486541748
Q16666,P10234,0.8076390027999878
P25685,P06930,0.9712437391281128
P51610,P30020,0.9351872205734253
P25815,Q05320,0.6414023041725159
Q9Y6C9,A0A0C7TUY8,0.9599562883377075
O75398,P14357,0.9672935009002686
Q13651,P03180,0.9715790748596191
Q53GL7,A4D8X6,0.8971219658851624
P46379,R9UQM6,0.8298617005348206
Q9NSC5,Q3KSS3,0.9800806045532227
P49069,P0DSV7,0.9511237144470215
Q16666,P10185,0.8477833867073059
P20226,P87662,0.9927814602851868
Q12959,P30911,0.991705060005188
P04792,P17371,0.9762251377105713
P04637,Q1NZ49,0.9954506754875183
P56962,P88990,0.9273918271064758
Q15906,P03493,0.981845498085022
O95153,Q9WNA9,0.9105410575866699
O95271,P03211,0.8790125250816345
P08195,P03454,0.8382033705711365
Q16666,G8HBD9,0.7750235199928284
P15529,P68323,0.959621250629425
Q9H4A3,Q9QAI4,0.9218193888664246
Q8IZ63,P10201,0.8243454098701477
Q9HD26,A4URT5,0.9700397849082947
Q93009,Q9DUN1,0.9904609322547913
Q96SI9,P03496,0.17530331015586853
Q5VU43,P88992,0.3054000735282898
P56199,P04512,0.965612530708313
Q9C0F1,P03225,0.8370475769042969
O14733,P20505,0.9844353795051575
Q9UKJ1,A1Z0P7,0.9653893709182739
O43709,P36801,0.99153733253479
P61956,P19893,0.5665996670722961
Q16666,F8RFA1,0.7102793455123901
P46109,Q99AU3,0.9779112935066223
Q92997,Q20MD4,0.9784436225891113
Q9NRY6,P10227,0.9725172519683838
Q04917,P10230,0.9949500560760498
P62877,Q6TVW2,0.9954172372817993
P07305,P06459,0.9334366917610168
P61769,P59596,0.845090389251709
Q07812,P03495,0.9959056377410889
Q96SI9,Q20MH3,0.15855549275875092
O00165,Q9QR69,0.4724346399307251
Q92621,Q99152,0.9721293449401855
Q10589,A9QPL9,0.9707394242286682
Q9UI95,P24935,0.9704329967498779
Q13630,P06428,0.9706434011459351
Q92966,A4ZNQ3,0.9832004308700562
P78344,P11158,0.12809695303440094
P27694,P88981,0.9786897301673889
Q99750,Q3KSS4,0.9628884196281433
P46934,Q77DJ6,0.9661332964897156
P68363,P59637,0.9575013518333435
P01903,P03437,0.982435941696167
P78556,O57300,0.9832166433334351
O95832,P0DTC5,0.980525016784668
P05455,Q194T2,0.11769623309373856
Q99689,P03086,0.9154552221298218
Q8N9W6,P10210,0.9515873789787292
P20700,P0DTC4,0.9529719352722168
Q13651,P0C6Z6,0.9715790748596191
O75843,P03139,0.9530492424964905
O00505,Q20MD0,0.4607284963130951
Q14258,B4URA9,0.9037541151046753
Q16666,A0A5J6DW60,0.8477833867073059
P00747,P15240,0.9155722856521606
Q01813,P03452,0.6472868919372559
O95786,P04543,0.9510614275932312
Q9H1Y0,Q30NB4,0.9832233786582947
Q9H0W5,B4URE7,0.9684523940086365
Q9Y4K3,Q6SWB7,0.3684982657432556
Q93009,F5H9G3,0.982073187828064
O15111,P04862,0.9611973762512207
Q9UI95,Q779E8,0.9704329967498779
Q13888,P21698,0.9741635322570801
Q9ULM6,P88937,0.9616860747337341
Q16666,P04291,0.8240656852722168
P63267,A0A5J6DVX6,0.9457467198371887
Q9NZT1,Q1K9G9,0.9935725927352905
Q15477,C8XNX3,0.9621448516845703
Q9UHD2,P08353,0.9180042147636414
Q9UBQ7,A0A0B6VKU0,0.9667876958847046
Q9Y5L4,Q05128,0.9850530028343201
Q9H6X4,Q81871,0.9775058031082153
Q00987,Q1HVF7,0.9715331792831421
Q9UKJ1,P06436,0.9707575440406799
Q14653,F5HIC6,0.9844412803649902
P21912,Q98131,0.9545742869377136
Q15477,K9N4V0,0.9666519165039062
Q9HD26,Q6VE52,0.9631130695343018
P04637,Q9QJ49,0.9937962293624878
Q13751,Q3ZK64,0.919517457485199
Q08174,Q9ICL0,0.972995400428772
Q13546,F5HAR0,0.9064440131187439
Q86V48,P88986,0.5948794484138489
P07355,P04305,0.9631913900375366
P62136,P36313,0.994536817073822
O14646,B2BUF1,0.9330347776412964
O14818,Q6SWW3,0.9322582483291626
P63244,Q9Q2P1,0.9911076426506042
P15311,B4UPA8,0.9769973754882812
P13500,O41925,0.9940749406814575
Q9UQ52,P0DKB0,0.9689013957977295
Q8WUM4,O55527,0.3008854389190674
Q93088,Q76R62,0.955563485622406
P56537,P88940,0.9342786073684692
Q8NC69,Q2PJP0,0.8548489809036255
P35968,P52584,0.9590211510658264
P06400,Q6SW29,0.9905383586883545
P61803,P06929,0.9244657754898071
Q9HD26,Q9IBY5,0.9714068174362183
O15162,P0CK47,0.20310358703136444
P61221,Q9WH76,0.9299343824386597
O00410,Q9YKI3,0.9602514505386353
Q12959,Q9ICL1,0.9888086915016174
Q05BQ5,P23372,0.9751368761062622
P05455,O39474,0.11244705319404602
Q08431,P06461,0.981453537940979
Q6UXV4,P88988,0.9585421681404114
Q96RT1,A3EXD4,0.7448594570159912
Q9HA64,P88959,0.9377756714820862
Q16666,F8RE30,0.8076390027999878
Q86VP6,Q6TVJ1,0.9482881426811218
P20591,Q8JPR0,0.910615086555481
P78352,Q0A2H0,0.9607244729995728
Q5VV52,R9UMC1,0.9781412482261658
O94986,Q9DLK6,0.4650114178657532
Q99759,Q6DP93,0.9468109011650085
O15118,X5HMX4,0.9468183517456055
P42224,A4GDF4,0.5224723219871521
O75525,I6TAG8,0.9649325013160706
Q12800,P03485,0.9842661619186401
P28799,Q69114,0.41333580017089844
P61981,A0A7S4U3Y4,0.9986783862113953
Q9Y5M8,B9UPF3,0.4080730378627777
P0CG48,P10211,0.9798768162727356
Q96DU3,D3JIT8,0.9597844481468201
P42224,Q76RC6,0.5224723219871521
P04792,Q805P6,0.9852149486541748
Q16666,P10234,0.8076390027999878
P25685,P06930,0.9712437391281128
P51610,P30020,0.9351872205734253
P25815,Q05320,0.6414023041725159
Q9Y6C9,A0A0C7TUY8,0.9599562883377075
O75398,P14357,0.9672935009002686
Q13651,P03180,0.9715790748596191
Q53GL7,A4D8X6,0.8971219658851624
P46379,R9UQM6,0.8298617005348206
Q9NSC5,Q3KSS3,0.9800806045532227
P49069,P0DSV7,0.9511237144470215
Q16666,P10185,0.8477833867073059
P20226,P87662,0.9927814602851868
Q12959,P30911,0.991705060005188
P04792,P17371,0.9762251377105713
P04637,Q1NZ49,0.9954506754875183
P56962,P88990,0.9273918271064758
Q15906,P03493,0.981845498085022
O95153,Q9WNA9,0.9105410575866699
O95271,P03211,0.8790125250816345
P08195,P03454,0.8382033705711365
Q16666,G8HBD9,0.7750235199928284
P15529,P68323,0.959621250629425
Q9H4A3,Q9QAI4,0.9218193888664246
Q8IZ63,P10201,0.8243454098701477
Q9HD26,A4URT5,0.9700397849082947
Q93009,Q9DUN1,0.9904609322547913
Q96SI9,P03496,0.17530331015586853
Q5VU43,P88992,0.3054000735282898
P56199,P04512,0.965612530708313
Q9C0F1,P03225,0.8370475769042969
O14733,P20505,0.9844353795051575
Q9UKJ1,A1Z0P7,0.9653893709182739
O43709,P36801,0.99153733253479
P61956,P19893,0.5665996670722961
Q16666,F8RFA1,0.7102793455123901
P46109,Q99AU3,0.9779112935066223
Q92997,Q20MD4,0.9784436225891113
Q9NRY6,P10227,0.9725172519683838
Q04917,P10230,0.9949500560760498
P62877,Q6TVW2,0.9954172372817993
P07305,P06459,0.9334366917610168
P61769,P59596,0.845090389251709
Q07812,P03495,0.9959056377410889
Q96SI9,Q20MH3,0.15855549275875092
O00165,Q9QR69,0.4724346399307251
Q92621,Q99152,0.9721293449401855
Q10589,A9QPL9,0.9707394242286682
Q9UI95,P24935,0.9704329967498779
Q13630,P06428,0.9706434011459351
Q92966,A4ZNQ3,0.9832004308700562
P78344,P11158,0.12809695303440094
P27694,P88981,0.9786897301673889
Q99750,Q3KSS4,0.9628884196281433
P46934,Q77DJ6,0.9661332964897156
P68363,P59637,0.9575013518333435
P01903,P03437,0.982435941696167
P78556,O57300,0.9832166433334351
O95832,P0DTC5,0.980525016784668
P05455,Q194T2,0.11769623309373856
Q99689,P03086,0.9154552221298218
Q8N9W6,P10210,0.9515874981880188
P20700,P0DTC4,0.9529720544815063
Q13651,P0C6Z6,0.9715790748596191
O75843,P03139,0.9530492424964905
O00505,Q20MD0,0.4607284963130951
Q14258,B4URA9,0.9037541151046753
Q16666,A0A5J6DW60,0.8477833867073059
P00747,P15240,0.9155722856521606
Q01813,P03452,0.6472868919372559
O95786,P04543,0.9510614275932312
Q9H1Y0,Q30NB4,0.9832233786582947
Q9H0W5,B4URE7,0.9684523940086365
Q9Y4K3,Q6SWB7,0.3684982657432556
Q93009,F5H9G3,0.982073187828064
O15111,P04862,0.9611973762512207
Q9UI95,Q779E8,0.9704329967498779
Q13888,P21698,0.9741635322570801
Q9ULM6,P88937,0.9616860747337341
Q16666,P04291,0.8240656852722168
P63267,A0A5J6DVX6,0.9457467198371887
Q9NZT1,Q1K9G9,0.9935725927352905
Q15477,C8XNX3,0.9621448516845703
Q9UHD2,P08353,0.9180042147636414
Q9UBQ7,A0A0B6VKU0,0.9667876958847046
Q9Y5L4,Q05128,0.9850530028343201
Q9H6X4,Q81871,0.9775058031082153
Q00987,Q1HVF7,0.9715331792831421
Q9UKJ1,P06436,0.9707575440406799
Q14653,F5HIC6,0.9844412803649902
P21912,Q98131,0.9545742869377136
Q15477,K9N4V0,0.9666519165039062
Q9HD26,Q6VE52,0.9631130695343018
P04637,Q9QJ49,0.9937962293624878
Q13751,Q3ZK64,0.919517457485199
Q08174,Q9ICL0,0.972995400428772
Q13546,F5HAR0,0.9064440131187439
Q86V48,P88986,0.5948794484138489
P07355,P04305,0.9631913900375366
P62136,P36313,0.994536817073822
O14646,B2BUF1,0.9330347776412964
O14818,Q6SWW3,0.9322582483291626
P63244,Q9Q2P1,0.9911076426506042
P15311,B4UPA8,0.9769973754882812
P13500,O41925,0.9940749406814575
Q9UQ52,P0DKB0,0.9689013957977295
Q8WUM4,O55527,0.3008854389190674
Q93088,Q76R62,0.955563485622406
P56537,P88940,0.9342786073684692
Q8NC69,Q2PJP0,0.8548489809036255
P35968,P52584,0.9590211510658264
P06400,Q6SW29,0.9905383586883545
P61803,P06929,0.9244657754898071
Q9HD26,Q9IBY5,0.9714068174362183
O15162,P0CK47,0.20310358703136444
P61221,Q9WH76,0.9299343824386597
O00410,Q9YKI3,0.9602514505386353
Q12959,Q9ICL1,0.9888086915016174
Q05BQ5,P23372,0.9751368761062622
P05455,O39474,0.11244705319404602
Q08431,P06461,0.981453537940979
Q6UXV4,P88988,0.9585421681404114
Q96RT1,A3EXD4,0.7448594570159912
Q9HA64,P88959,0.9377756714820862
Q16666,F8RE30,0.8076390027999878
Q86VP6,Q6TVJ1,0.9482881426811218
P20591,Q8JPR0,0.910615086555481
P78352,Q0A2H0,0.9607244729995728
Q5VV52,R9UMC1,0.9781412482261658
O94986,Q9DLK6,0.4650114178657532
Q99759,Q6DP93,0.9468109011650085
O15118,X5HMX4,0.9468183517456055
P42224,A4GDF4,0.5224723219871521
O75525,I6TAG8,0.9649325013160706
Q12800,P03485,0.9842661619186401
P28799,Q69114,0.41333580017089844
P61981,A0A7S4U3Y4,0.9986783862113953
Q9Y5M8,B9UPF3,0.4080730378627777
P0CG48,P10211,0.9798768162727356
Q96DU3,D3JIT8,0.9597844481468201
P42224,Q76RC6,0.5224723219871521
P04792,Q805P6,0.9852149486541748
Q16666,P10234,0.8076390027999878
P25685,P06930,0.9712437391281128
P51610,P30020,0.9351872205734253
P25815,Q05320,0.6414023041725159
Q9Y6C9,A0A0C7TUY8,0.9599562883377075
O75398,P14357,0.9672935009002686
Q13651,P03180,0.9715790748596191
Q53GL7,A4D8X6,0.8971219658851624
P46379,R9UQM6,0.8298617005348206
Q9NSC5,Q3KSS3,0.9800806045532227
P49069,P0DSV7,0.9511237144470215
Q16666,P10185,0.8477833867073059
P20226,P87662,0.9927814602851868
Q12959,P30911,0.991705060005188
P04792,P17371,0.9762251377105713
P04637,Q1NZ49,0.9954506754875183
P56962,P88990,0.9273918271064758
Q15906,P03493,0.981845498085022
O95153,Q9WNA9,0.9105410575866699
O95271,P03211,0.8790125250816345
P08195,P03454,0.8382033705711365
Q16666,G8HBD9,0.7750235199928284
P15529,P68323,0.959621250629425
Q9H4A3,Q9QAI4,0.9218193888664246
Q8IZ63,P10201,0.8243454098701477
Q9HD26,A4URT5,0.9700397849082947
Q93009,Q9DUN1,0.9904609322547913
Q96SI9,P03496,0.17530331015586853
Q5VU43,P88992,0.3054000735282898
P56199,P04512,0.965612530708313
Q9C0F1,P03225,0.8370475769042969
O14733,P20505,0.9844353795051575
Q9UKJ1,A1Z0P7,0.9653893709182739
O43709,P36801,0.99153733253479
P61956,P19893,0.5665996670722961
Q16666,F8RFA1,0.7102793455123901
P46109,Q99AU3,0.9779112935066223
Q92997,Q20MD4,0.9784436225891113
Q9NRY6,P10227,0.9725172519683838
Q04917,P10230,0.9949500560760498
P62877,Q6TVW2,0.9954172372817993
P07305,P06459,0.9334366917610168
P61769,P59596,0.845090389251709
Q07812,P03495,0.9959056377410889
Q96SI9,Q20MH3,0.15855549275875092
O00165,Q9QR69,0.4724346399307251
Q92621,Q99152,0.9721293449401855
Q10589,A9QPL9,0.9707394242286682
Q9UI95,P24935,0.9704329967498779
Q13630,P06428,0.9706434011459351
Q92966,A4ZNQ3,0.9832004308700562
P78344,P11158,0.12809695303440094
P27694,P88981,0.9786897301673889
Q99750,Q3KSS4,0.9628884196281433
P46934,Q77DJ6,0.9661332964897156
P68363,P59637,0.9575013518333435
P01903,P03437,0.982435941696167
P78556,O57300,0.9832166433334351
O95832,P0DTC5,0.980525016784668
P05455,Q194T2,0.11769623309373856
Q99689,P03086,0.9154552221298218
Q8N9W6,P10210,0.9515873789787292
P20700,P0DTC4,0.9529719352722168
Q13651,P0C6Z6,0.9715790748596191
O75843,P03139,0.9530492424964905
O00505,Q20MD0,0.4607284963130951
Q14258,B4URA9,0.9037541151046753
Q16666,A0A5J6DW60,0.8477833867073059
P00747,P15240,0.9155722856521606
Q01813,P03452,0.6472868919372559
O95786,P04543,0.9510614275932312
Q9H1Y0,Q30NB4,0.9832233786582947
Q9H0W5,B4URE7,0.9684523940086365
Q9Y4K3,Q6SWB7,0.3684982657432556
Q93009,F5H9G3,0.982073187828064
O15111,P04862,0.9611973762512207
Q9UI95,Q779E8,0.9704329967498779
Q13888,P21698,0.9741635322570801
Q9ULM6,P88937,0.9616860747337341
Q16666,P04291,0.8240656852722168
P63267,A0A5J6DVX6,0.9457467198371887
Q9NZT1,Q1K9G9,0.9935725927352905
Q15477,C8XNX3,0.9621448516845703
Q9UHD2,P08353,0.9180042147636414
Q9UBQ7,A0A0B6VKU0,0.9667876958847046
Q9Y5L4,Q05128,0.9850530028343201
Q9H6X4,Q81871,0.9775058031082153
Q00987,Q1HVF7,0.9715331792831421
Q9UKJ1,P06436,0.9707575440406799
Q14653,F5HIC6,0.9844412803649902
P21912,Q98131,0.9545742869377136
Q15477,K9N4V0,0.9666519165039062
Q9HD26,Q6VE52,0.9631130695343018
P04637,Q9QJ49,0.9937962293624878
Q13751,Q3ZK64,0.919517457485199
Q08174,Q9ICL0,0.972995400428772
Q13546,F5HAR0,0.9064440131187439
Q86V48,P88986,0.5948794484138489
P07355,P04305,0.9631913900375366
P62136,P36313,0.994536817073822
O14646,B2BUF1,0.9330347776412964
O14818,Q6SWW3,0.9322582483291626
P63244,Q9Q2P1,0.9911076426506042
P15311,B4UPA8,0.9769973754882812
P13500,O41925,0.9940749406814575
Q9UQ52,P0DKB0,0.9689013957977295
Q8WUM4,O55527,0.3008854389190674
Q93088,Q76R62,0.955563485622406
P56537,P88940,0.9342786073684692
Q8NC69,Q2PJP0,0.8548489809036255
P35968,P52584,0.9590211510658264
P06400,Q6SW29,0.9905383586883545
P61803,P06929,0.9244657754898071
Q9HD26,Q9IBY5,0.9714068174362183
O15162,P0CK47,0.20310358703136444
P61221,Q9WH76,0.9299343824386597
O00410,Q9YKI3,0.9602514505386353
Q12959,Q9ICL1,0.9888086915016174
Q05BQ5,P23372,0.9751368761062622
P05455,O39474,0.11244705319404602
Q08431,P06461,0.981453537940979
Q6UXV4,P88988,0.9585421681404114
Q96RT1,A3EXD4,0.7448594570159912
Q9HA64,P88959,0.9377756714820862
Q16666,F8RE30,0.8076390027999878
Q86VP6,Q6TVJ1,0.9482881426811218
P20591,Q8JPR0,0.910615086555481
P78352,Q0A2H0,0.9607244729995728
Q5VV52,R9UMC1,0.9781412482261658
O94986,Q9DLK6,0.4650114178657532
Q99759,Q6DP93,0.9468109011650085
O15118,X5HMX4,0.9468183517456055
P42224,A4GDF4,0.5224723219871521
O75525,I6TAG8,0.9649325013160706
Q12800,P03485,0.9842661619186401
P28799,Q69114,0.41333580017089844
P61981,A0A7S4U3Y4,0.9986783862113953
Q9Y5M8,B9UPF3,0.4080730378627777
P0CG48,P10211,0.9798768162727356
Q96DU3,D3JIT8,0.9597844481468201
P42224,Q76RC6,0.5224723219871521
P04792,Q805P6,0.9852149486541748
Q16666,P10234,0.8076390027999878
P25685,P06930,0.9712437391281128
P51610,P30020,0.9351872205734253
P25815,Q05320,0.6414023041725159
Q9Y6C9,A0A0C7TUY8,0.9599562883377075
O75398,P14357,0.9672935009002686
Q13651,P03180,0.9715790748596191
Q53GL7,A4D8X6,0.8971219658851624
P46379,R9UQM6,0.8298617005348206
Q9NSC5,Q3KSS3,0.9800806045532227
P49069,P0DSV7,0.9511237144470215
Q16666,P10185,0.8477833867073059
P20226,P87662,0.9927814602851868
Q12959,P30911,0.991705060005188
P04792,P17371,0.9762251377105713
P04637,Q1NZ49,0.9954506754875183
P56962,P88990,0.9273918271064758
Q15906,P03493,0.981845498085022
O95153,Q9WNA9,0.9105410575866699
O95271,P03211,0.8790125250816345
P08195,P03454,0.8382033705711365
Q16666,G8HBD9,0.7750235199928284
P15529,P68323,0.959621250629425
Q9H4A3,Q9QAI4,0.9218193888664246
Q8IZ63,P10201,0.8243454098701477
Q9HD26,A4URT5,0.9700397849082947
Q93009,Q9DUN1,0.9904609322547913
Q96SI9,P03496,0.17530331015586853
Q5VU43,P88992,0.3054000735282898
P56199,P04512,0.965612530708313
Q9C0F1,P03225,0.8370475769042969
O14733,P20505,0.9844353795051575
Q9UKJ1,A1Z0P7,0.9653893709182739
O43709,P36801,0.99153733253479
P61956,P19893,0.5665996670722961
Q16666,F8RFA1,0.7102793455123901
P46109,Q99AU3,0.9779112935066223
Q92997,Q20MD4,0.9784436225891113
Q9NRY6,P10227,0.9725172519683838
Q04917,P10230,0.9949500560760498
P62877,Q6TVW2,0.9954172372817993
P07305,P06459,0.9334366917610168
P61769,P59596,0.845090389251709
Q07812,P03495,0.9959056377410889
Q96SI9,Q20MH3,0.15855549275875092
O00165,Q9QR69,0.4724346399307251
Q92621,Q99152,0.9721293449401855
Q10589,A9QPL9,0.9707394242286682
Q9UI95,P24935,0.9704329967498779
Q13630,P06428,0.9706434011459351
Q92966,A4ZNQ3,0.9832004308700562
P78344,P11158,0.12809695303440094
P27694,P88981,0.9786897301673889
Q99750,Q3KSS4,0.9628884196281433
P46934,Q77DJ6,0.9661332964897156
P68363,P59637,0.9575013518333435
P01903,P03437,0.982435941696167
P78556,O57300,0.9832166433334351
O95832,P0DTC5,0.980525016784668
P05455,Q194T2,0.11769623309373856
Q99689,P03086,0.9154552221298218
Q8N9W6,P10210,0.9515873789787292
P20700,P0DTC4,0.9529719352722168
Q13651,P0C6Z6,0.9715790748596191
O75843,P03139,0.9530492424964905
O00505,Q20MD0,0.4607284963130951
Q14258,B4URA9,0.9037541151046753
Q16666,A0A5J6DW60,0.8477833867073059
P00747,P15240,0.9155722856521606
Q01813,P03452,0.6472868919372559
O95786,P04543,0.9510614275932312
Q9H1Y0,Q30NB4,0.9832233786582947
Q9H0W5,B4URE7,0.9684523940086365
Q9Y4K3,Q6SWB7,0.3684982657432556
Q93009,F5H9G3,0.982073187828064
O15111,P04862,0.9611973762512207
Q9UI95,Q779E8,0.9704329967498779
Q13888,P21698,0.9741635322570801
Q9ULM6,P88937,0.9616860747337341
Q16666,P04291,0.8240656852722168
P63267,A0A5J6DVX6,0.9457467198371887
Q9NZT1,Q1K9G9,0.9935725927352905
Q15477,C8XNX3,0.9621448516845703
Q9UHD2,P08353,0.9180042147636414
Q9UBQ7,A0A0B6VKU0,0.9667876958847046
Q9Y5L4,Q05128,0.9850530028343201
Q9H6X4,Q81871,0.9775058031082153
Q00987,Q1HVF7,0.9715331792831421
Q9UKJ1,P06436,0.9707575440406799
Q14653,F5HIC6,0.9844412803649902
P21912,Q98131,0.9545742869377136
Q15477,K9N4V0,0.9666519165039062
Q9HD26,Q6VE52,0.9631130695343018
P04637,Q9QJ49,0.9937962293624878
Q13751,Q3ZK64,0.919517457485199
Q08174,Q9ICL0,0.972995400428772
Q13546,F5HAR0,0.9064440131187439
Q86V48,P88986,0.5948795080184937
P07355,P04305,0.9631913900375366
P62136,P36313,0.994536817073822
O14646,B2BUF1,0.9330347776412964
O14818,Q6SWW3,0.9322582483291626
P63244,Q9Q2P1,0.9911076426506042
P15311,B4UPA8,0.9769973754882812
P13500,O41925,0.9940749406814575
Q9UQ52,P0DKB0,0.9689013957977295
Q8WUM4,O55527,0.3008854389190674
Q93088,Q76R62,0.955563485622406
P56537,P88940,0.9342786073684692
Q8NC69,Q2PJP0,0.8548489809036255
P35968,P52584,0.9590211510658264
P06400,Q6SW29,0.9905383586883545
P61803,P06929,0.9244657754898071
Q9HD26,Q9IBY5,0.9714068174362183
O15162,P0CK47,0.20310358703136444
P61221,Q9WH76,0.9299343824386597
O00410,Q9YKI3,0.9602514505386353
Q12959,Q9ICL1,0.9888086915016174
Q05BQ5,P23372,0.9751368761062622
P05455,O39474,0.11244705319404602
Q08431,P06461,0.981453537940979
