virus_unid	human_unid	rank	allnum
NP_056844	Q9NNX6	1397	1418
NP_057856	P01730	210	1418
NP_057856	P61073	281	1418
NP_057856	P51681	553	1418
NP_057856	Q9H2X3	1331	1418
NP_057856	Q9NNX6	1395	1418
O89343	P52799	190	1418
O89343	Q15768	1063	1418
O91734	P05556	824	1418
O91734	P17301	959	1418
P03089	P28223	438	1418
P03135	P05556	828	1418
P03135	P08648	1018	1418
P03135	Q8IZA0	1156	1418
P03135	P08865	1380	1418
P03188	O43921	638	1418
P03188	P01911	708	1418
P03188	P05556	820	1418
P03188	P20023	922	1418
P03188	P17927	1332	1418
P03313	P78310	156	1418
P03313	P08174	363	1418
P03522	P01130	721	1418
P03522	Q9P2Y5	1346	1418
P03524	P08138	313	1418
P03524	Q14416	542	1418
P03524	P13591	791	1418
P03528	Q9BZR6	588	1418
P03528	Q9Y624	680	1418
P03528	P05556	829	1418
P04936	P01130	725	1418
P07575	Q15758	265	1418
P08291	P78310	156	1418
P08291	P08174	364	1418
P08291	P06756	725	1418
P08291	P18564	1230	1418
P08617	Q96D42	1368	1418
P08668	P05106	1412	1418
P08669	P11279	373	1418
P08669	Q06418	809	1418
P08669	Q6UXB4	931	1418
P08669	P30530	938	1418
P08669	Q14118	1108	1418
P08669	Q96D42	1364	1418
P08669	Q9NNX6	1397	1418
P09991	Q06418	815	1418
P09991	Q6UXB4	927	1418
P09991	P30530	944	1418
P09991	Q14118	1107	1418
P09991	Q9NNX6	1397	1418
P0DTC2	Q8WTV0	616	1418
P0DTC2	Q9BYF1	902	1418
P0DTC2	P30530	937	1418
P0DTC2	O14786	1375	1418
P10269	Q15758	264	1418
P11261	Q8WUM9	481	1418
P11261	Q08357	491	1418
P12640	P15151	17	1418
P12640	Q15223	632	1418
P15423	P15144	1326	1418
P15423	Q9H2X3	1337	1418
P17763	O95832	511	1418
P17763	Q9NY25	756	1418
P17763	Q06418	808	1418
P17763	P30530	917	1418
P17763	Q96D42	1374	1418
P17763	P08865	1383	1418
P17763	Q9NNX6	1401	1418
P19725	Q16653	356	1418
P21415	Q8WUM9	483	1418
P21415	Q08357	491	1418
P22055	P08174	364	1418
P22055	P05362	1322	1418
P24994	Q15223	627	1418
P24994	Q92956	782	1418
P24994	Q92692	865	1418
P24994	Q9NNX6	1402	1418
P27285	P08865	1379	1418
P27395	P0CG01	554	1418
P27395	Q9BX97	769	1418
P27395	Q6UXB4	887	1418
P27395	Q9H2X3	1329	1418
P27395	Q9NNX6	1399	1418
P27958	P60033	162	1418
P27958	O95832	488	1418
P27958	Q8WTV0	607	1418
P27958	Q16625	653	1418
P27958	P01130	710	1418
P27958	P00533	936	1418
P27958	P29317	1200	1418
P27958	Q9H2X3	1313	1418
P27958	P02786	1360	1418
P27958	Q9NNX6	1401	1418
P28864	P15529	850	1418
P31791	Q15758	265	1418
P36320	P43489	909	1418
P36329	P08865	1380	1418
P52352	P01730	216	1418
Q02076	Q9Y5Y0	560	1418
Q5XXP3	P35232	5	1418
Q5XXP3	Q9BRK3	495	1418
Q66575	P08174	364	1418
Q66765	P19320	1289	1418
Q6IUF7	P02786	1359	1418
Q6JC40	P08865	1379	1418
Q6Q1S2	Q9BYF1	905	1418
Q6UY73	P02786	1363	1418
Q6WB94	P05556	827	1418
Q6WB94	P08648	1023	1418
Q84168	Q14118	1108	1418
Q8AYW1	P02786	1360	1418
Q8B121	Q14118	1110	1418
Q9E006	Q08174	892	1418
Q9IH62	P52799	186	1418
Q9IH62	Q15768	1068	1418
Q9PZT0	P05556	820	1418
Q9PZT0	P08648	1012	1418
Q9Q6P4	P06756	713	1418
Q9Q6P4	Q9H2X3	1324	1418
Q9Q6P4	Q9NNX6	1402	1418
Q9Q6P4	P05106	1412	1418
Q9QL88	P78310	156	1418
Q9YLG5	P78310	156	1418
QJA10589	P08174	363	1418
QNN25832	Q96MU8	1011	1418
QWM97554	P08174	363	1418
QZA87423	P78310	153	1418
YP_001552435	Q6ZTQ4	966	1418
YP_002213828	P15529	843	1418
YP_002213828	P33681	895	1418
YP_002213828	P42081	1065	1418
YP_009505605	P08174	362	1418
YP_009505605	Q9UMF0	989	1418
YP_009505617	P06756	728	1418
YP_009505617	P05106	1412	1418
YP_068048	P78310	156	1418
YP_068330	P15151	15	1418
YP_068330	Q15223	626	1418
YP_068330	Q92692	870	1418
YP_077180	P08865	1379	1418
YP_081514	A6ND48	12	1418
YP_081514	P06756	718	1418
YP_081514	P05556	823	1418
YP_081514	P00533	956	1418
YP_081514	P15144	1319	1418
YP_081514	Q9H2X3	1330	1418
YP_081514	Q9NNX6	1403	1418
YP_081514	P05106	1412	1418
