human_unid	virus_unid	pred_score
Q9Y597	Q9Q6P4	0.079
P08582	Q9Q6P4	0.100
P01619	Q9Q6P4	0.154
Q8NGM8	Q9Q6P4	0.052
Q8NH83	Q9Q6P4	0.069
P30531	Q9Q6P4	0.083
Q04656	Q9Q6P4	0.071
Q96CW1	Q9Q6P4	0.045
Q9P2Y5	Q9Q6P4	0.076
P20333	Q9Q6P4	0.085
O14842	Q9Q6P4	0.065
O95918	Q9Q6P4	0.095
Q5BIV9	Q9Q6P4	0.146
Q9BY14	Q9Q6P4	0.064
A0A0K0K1B3	Q9Q6P4	0.124
P01825	Q9Q6P4	0.146
Q14242	Q9Q6P4	0.049
P05186	Q9Q6P4	0.082
Q92536	Q9Q6P4	0.115
Q9GZN0	Q9Q6P4	0.086
P47872	Q9Q6P4	0.069
Q9NY25	Q9Q6P4	0.059
P35613	Q9Q6P4	0.083
P19397	Q9Q6P4	0.069
O00241	Q9Q6P4	0.064
Q5T601	Q9Q6P4	0.041
P55087	Q9Q6P4	0.047
Q8N144	Q9Q6P4	0.121
A0A0C4DH69	Q9Q6P4	0.140
Q6UQ28	Q9Q6P4	0.070
Q92823	Q9Q6P4	0.049
O43164	Q9Q6P4	0.053
Q9UGH3	Q9Q6P4	0.047
Q9NPB3	Q9Q6P4	0.089
A0A5B7	Q9Q6P4	0.071
P30988	Q9Q6P4	0.105
Q9ULC5	Q9Q6P4	0.064
Q969F8	Q9Q6P4	0.073
Q04609	Q9Q6P4	0.060
P48509	Q9Q6P4	0.111
Q86VL8	Q9Q6P4	0.059
P09326	Q9Q6P4	0.074
O00398	Q9Q6P4	0.091
Q3MIR4	Q9Q6P4	0.050
A0A087WSY6	Q9Q6P4	0.092
P46108	Q9Q6P4	0.133
Q9NPC1	Q9Q6P4	0.107
P22413	Q9Q6P4	0.066
A0A075B6R0	Q9Q6P4	0.094
P32418	Q9Q6P4	0.059
P22455	Q9Q6P4	0.051
Q12860	Q9Q6P4	0.067
P01859	Q9Q6P4	0.065
Q9NY91	Q9Q6P4	0.055
Q86TG1	Q9Q6P4	0.110
P31645	Q9Q6P4	0.067
Q1EHB4	Q9Q6P4	0.093
Q9UHX3	Q9Q6P4	0.059
Q92887	Q9Q6P4	0.077
O60716	Q9Q6P4	0.045
O00206	Q9Q6P4	0.043
P63211	Q9Q6P4	0.093
P11168	Q9Q6P4	0.101
P30989	Q9Q6P4	0.041
P14778	Q9Q6P4	0.076
Q8IU80	Q9Q6P4	0.061
O43739	Q9Q6P4	0.059
Q9NVZ3	Q9Q6P4	0.056
P32248	Q9Q6P4	0.080
O15374	Q9Q6P4	0.059
P04211	Q9Q6P4	0.069
Q9NWF4	Q9Q6P4	0.065
P51654	Q9Q6P4	0.061
P54762	Q9Q6P4	0.066
P0DOY3	Q9Q6P4	0.091
O14944	Q9Q6P4	0.062
Q13936	Q9Q6P4	0.073
Q96F05	Q9Q6P4	0.053
Q01814	Q9Q6P4	0.061
Q14118	Q9Q6P4	0.065
O00476	Q9Q6P4	0.089
Q8NH01	Q9Q6P4	0.053
Q96NR3	Q9Q6P4	0.041
Q9Y5Y0	Q9Q6P4	0.082
P38484	Q9Q6P4	0.075
O95477	Q9Q6P4	0.051
P53985	Q9Q6P4	0.043
P62079	Q9Q6P4	0.114
P30968	Q9Q6P4	0.077
A0A0B4J1X8	Q9Q6P4	0.132
Q86V35	Q9Q6P4	0.089
P0C623	Q9Q6P4	0.051
Q86SQ3	Q9Q6P4	0.061
P35968	Q9Q6P4	0.055
Q14832	Q9Q6P4	0.038
P24530	Q9Q6P4	0.104
P63244	Q9Q6P4	0.044
P07948	Q9Q6P4	0.071
Q6UX82	Q9Q6P4	0.057
Q8WWG1	Q9Q6P4	0.075
Q92633	Q9Q6P4	0.063
Q7Z2K8	Q9Q6P4	0.061
P07949	Q9Q6P4	0.056
P0DOY2	Q9Q6P4	0.083
Q7RTX1	Q9Q6P4	0.054
P11912	Q9Q6P4	0.126
Q9HAB3	Q9Q6P4	0.075
P20138	Q9Q6P4	0.067
A0A0K0K1C4	Q9Q6P4	0.101
P55042	Q9Q6P4	0.069
A0A0K0K1D8	Q9Q6P4	0.077
O75131	Q9Q6P4	0.057
Q9BXN2	Q9Q6P4	0.079
Q9P273	Q9Q6P4	0.053
P36897	Q9Q6P4	0.068
P47898	Q9Q6P4	0.095
A0A0B4J1Y8	Q9Q6P4	0.104
P21802	Q9Q6P4	0.051
Q7RTY1	Q9Q6P4	0.077
Q8IWV2	Q9Q6P4	0.055
Q9BX59	Q9Q6P4	0.061
Q9H3R2	Q9Q6P4	0.041
O00533	Q9Q6P4	0.058
P19235	Q9Q6P4	0.093
A0A075B6I0	Q9Q6P4	0.069
Q08708	Q9Q6P4	0.131
P48039	Q9Q6P4	0.123
A0A0B4J262	Q9Q6P4	0.063
P48145	Q9Q6P4	0.077
Q96B33	Q9Q6P4	0.106
Q86YT6	Q9Q6P4	0.049
P10912	Q9Q6P4	0.071
Q9UHI5	Q9Q6P4	0.061
Q99705	Q9Q6P4	0.065
P21589	Q9Q6P4	0.063
Q96R54	Q9Q6P4	0.079
P13688	Q9Q6P4	0.069
A0A075B6J2	Q9Q6P4	0.071
Q9NYV7	Q9Q6P4	0.096
P01624	Q9Q6P4	0.113
A0A0C4DH41	Q9Q6P4	0.183
P61224	Q9Q6P4	0.085
Q02223	Q9Q6P4	0.061
P25092	Q9Q6P4	0.069
P40199	Q9Q6P4	0.088
Q9Y345	Q9Q6P4	0.044
P08913	Q9Q6P4	0.089
Q58EX2	Q9Q6P4	0.067
P0DP58	Q9Q6P4	0.085
O43508	Q9Q6P4	0.081
Q8IWE4	Q9Q6P4	0.112
Q9Y2I2	Q9Q6P4	0.083
Q86VB7	Q9Q6P4	0.070
O15162	Q9Q6P4	0.086
Q86WB7	Q9Q6P4	0.091
Q2HXU8	Q9Q6P4	0.071
P34810	Q9Q6P4	0.075
P01704	Q9Q6P4	0.091
Q9NR61	Q9Q6P4	0.060
Q14973	Q9Q6P4	0.097
P63000	Q9Q6P4	0.089
Q13467	Q9Q6P4	0.049
Q30154	Q9Q6P4	0.090
O15393	Q9Q6P4	0.042
P18848	Q9Q6P4	0.079
P20273	Q9Q6P4	0.047
P58743	Q9Q6P4	0.052
Q5DID0	Q9Q6P4	0.031
O14638	Q9Q6P4	0.069
A0A0B4J274	Q9Q6P4	0.071
A0A075B6K4	Q9Q6P4	0.080
P32239	Q9Q6P4	0.097
Q96NY8	Q9Q6P4	0.055
P80748	Q9Q6P4	0.147
P58173	Q9Q6P4	0.070
P13569	Q9Q6P4	0.040
Q86UF1	Q9Q6P4	0.088
P82251	Q9Q6P4	0.089
Q06787	Q9Q6P4	0.072
P0CG01	Q9Q6P4	0.082
P26006	Q9Q6P4	0.053
P26718	Q9Q6P4	0.103
P51681	Q9Q6P4	0.069
P33151	Q9Q6P4	0.046
Q9BZR6	Q9Q6P4	0.067
P50150	Q9Q6P4	0.085
Q96RI9	Q9Q6P4	0.099
P63215	Q9Q6P4	0.082
P49238	Q9Q6P4	0.065
P56817	Q9Q6P4	0.053
O15552	Q9Q6P4	0.105
P63218	Q9Q6P4	0.068
P01742	Q9Q6P4	0.069
Q6ZQN7	Q9Q6P4	0.083
Q9BV40	Q9Q6P4	0.089
P54709	Q9Q6P4	0.091
P01714	Q9Q6P4	0.074
Q9HBB8	Q9Q6P4	0.068
O60755	Q9Q6P4	0.057
Q14773	Q9Q6P4	0.093
P41146	Q9Q6P4	0.072
P17181	Q9Q6P4	0.041
P41968	Q9Q6P4	0.078
P15144	Q9Q6P4	0.045
Q7L0Q8	Q9Q6P4	0.089
P47888	Q9Q6P4	0.071
Q14330	Q9Q6P4	0.069
P53618	Q9Q6P4	0.044
O94856	Q9Q6P4	0.073
P01717	Q9Q6P4	0.082
P0DPF4	Q9Q6P4	0.064
Q15303	Q9Q6P4	0.051
P21709	Q9Q6P4	0.053
O95867	Q9Q6P4	0.129
P13945	Q9Q6P4	0.069
Q9NRA1	Q9Q6P4	0.088
P79483	Q9Q6P4	0.089
P61586	Q9Q6P4	0.100
Q16820	Q9Q6P4	0.049
P22732	Q9Q6P4	0.079
Q13002	Q9Q6P4	0.059
Q8NH72	Q9Q6P4	0.085
A0A0B4J248	Q9Q6P4	0.089
P16871	Q9Q6P4	0.080
P01706	Q9Q6P4	0.149
Q9UNQ0	Q9Q6P4	0.045
Q8NFP4	Q9Q6P4	0.055
P0CG04	Q9Q6P4	0.091
P0C7T3	Q9Q6P4	0.093
Q8WY64	Q9Q6P4	0.061
P51151	Q9Q6P4	0.070
P62330	Q9Q6P4	0.071
P56539	Q9Q6P4	0.092
P01824	Q9Q6P4	0.144
Q6UWL6	Q9Q6P4	0.043
Q8TCW9	Q9Q6P4	0.072
P06731	Q9Q6P4	0.071
Q495A1	Q9Q6P4	0.090
Q8NI17	Q9Q6P4	0.063
P08174	Q9Q6P4	0.061
P55899	Q9Q6P4	0.094
Q15669	Q9Q6P4	0.109
P51685	Q9Q6P4	0.107
Q99075	Q9Q6P4	0.102
Q15109	Q9Q6P4	0.069
P01903	Q9Q6P4	0.079
Q14574	Q9Q6P4	0.055
P12931	Q9Q6P4	0.051
P01861	Q9Q6P4	0.066
Q92482	Q9Q6P4	0.055
Q9BXT2	Q9Q6P4	0.108
P01768	Q9Q6P4	0.131
P60763	Q9Q6P4	0.093
P21860	Q9Q6P4	0.046
Q9NRM0	Q9Q6P4	0.057
P22681	Q9Q6P4	0.049
O94956	Q9Q6P4	0.078
O14493	Q9Q6P4	0.090
Q9NQC7	Q9Q6P4	0.039
Q9NPH3	Q9Q6P4	0.062
A0A0B4J234	Q9Q6P4	0.067
P11234	Q9Q6P4	0.077
P57735	Q9Q6P4	0.067
P60507	Q9Q6P4	0.068
A0A0B4J1Y9	Q9Q6P4	0.081
A6NF89	Q9Q6P4	0.057
Q5SSG8	Q9Q6P4	0.068
Q9GZQ4	Q9Q6P4	0.097
Q6UXK2	Q9Q6P4	0.035
A0A1B0GX68	Q9Q6P4	0.091
Q9BZM2	Q9Q6P4	0.084
Q04900	Q9Q6P4	0.073
P0DMS8	Q9Q6P4	0.105
P0DP07	Q9Q6P4	0.169
Q16625	Q9Q6P4	0.100
A6ND48	Q9Q6P4	0.067
P35916	Q9Q6P4	0.052
Q5MY95	Q9Q6P4	0.039
Q99497	Q9Q6P4	0.065
O95500	Q9Q6P4	0.063
Q15762	Q9Q6P4	0.073
P04921	Q9Q6P4	0.054
Q6UY09	Q9Q6P4	0.069
P17813	Q9Q6P4	0.077
Q9Y5N1	Q9Q6P4	0.066
P49006	Q9Q6P4	0.059
Q9HC73	Q9Q6P4	0.120
Q8NHC7	Q9Q6P4	0.095
P60953	Q9Q6P4	0.074
Q9H2X3	Q9Q6P4	0.060
Q9Y639	Q9Q6P4	0.058
P15328	Q9Q6P4	0.129
O15056	Q9Q6P4	0.045
Q9UI14	Q9Q6P4	0.070
P34903	Q9Q6P4	0.051
P16473	Q9Q6P4	0.063
P06315	Q9Q6P4	0.070
Q9H665	Q9Q6P4	0.069
O00222	Q9Q6P4	0.050
P00533	Q9Q6P4	0.047
P56748	Q9Q6P4	0.068
Q13651	Q9Q6P4	0.079
P29017	Q9Q6P4	0.101
O14931	Q9Q6P4	0.103
P35346	Q9Q6P4	0.077
P48960	Q9Q6P4	0.049
P50052	Q9Q6P4	0.072
O95977	Q9Q6P4	0.068
Q96FL8	Q9Q6P4	0.084
A0A075B6U4	Q9Q6P4	0.101
A0A075B6J1	Q9Q6P4	0.092
Q9NP72	Q9Q6P4	0.077
P46934	Q9Q6P4	0.058
P01833	Q9Q6P4	0.047
P13987	Q9Q6P4	0.083
Q9NRM6	Q9Q6P4	0.092
Q9UQ52	Q9Q6P4	0.048
Q99578	Q9Q6P4	0.071
Q96R67	Q9Q6P4	0.069
P48165	Q9Q6P4	0.071
A0A0G2JMI3	Q9Q6P4	0.071
P41180	Q9Q6P4	0.067
Q9UIA0	Q9Q6P4	0.055
P55064	Q9Q6P4	0.063
O00155	Q9Q6P4	0.072
A0A0C4DH55	Q9Q6P4	0.165
P06028	Q9Q6P4	0.069
A0A0C4DH59	Q9Q6P4	0.080
Q99624	Q9Q6P4	0.065
Q14714	Q9Q6P4	0.086
Q96CW9	Q9Q6P4	0.070
Q9H244	Q9Q6P4	0.074
Q96JJ6	Q9Q6P4	0.075
P51686	Q9Q6P4	0.054
Q9BPV8	Q9Q6P4	0.071
Q8N4C7	Q9Q6P4	0.066
P56750	Q9Q6P4	0.068
A0A5A6	Q9Q6P4	0.085
O00591	Q9Q6P4	0.047
Q8NBV8	Q9Q6P4	0.063
P21918	Q9Q6P4	0.073
P57764	Q9Q6P4	0.059
A0A075B6X5	Q9Q6P4	0.052
O95069	Q9Q6P4	0.106
P49841	Q9Q6P4	0.060
P08588	Q9Q6P4	0.076
Q96PL2	Q9Q6P4	0.059
P60201	Q9Q6P4	0.081
Q9H209	Q9Q6P4	0.077
O00574	Q9Q6P4	0.068
P02786	Q9Q6P4	0.063
Q07021	Q9Q6P4	0.059
Q8IZA0	Q9Q6P4	0.055
A0A087WT02	Q9Q6P4	0.071
Q9BZW8	Q9Q6P4	0.112
Q9BY10	Q9Q6P4	0.099
Q9Y5Y3	Q9Q6P4	0.057
Q9UKL4	Q9Q6P4	0.068
P14222	Q9Q6P4	0.076
P42081	Q9Q6P4	0.051
O14514	Q9Q6P4	0.057
Q03431	Q9Q6P4	0.054
P01116	Q9Q6P4	0.089
Q8WWQ8	Q9Q6P4	0.075
P32302	Q9Q6P4	0.085
Q9P232	Q9Q6P4	0.062
P60880	Q9Q6P4	0.067
P04433	Q9Q6P4	0.133
Q969P0	Q9Q6P4	0.050
Q9UKP6	Q9Q6P4	0.077
Q9Y6Q6	Q9Q6P4	0.043
Q8NCK7	Q9Q6P4	0.069
Q8TD46	Q9Q6P4	0.083
Q9HBW0	Q9Q6P4	0.078
Q99527	Q9Q6P4	0.079
Q9UN74	Q9Q6P4	0.053
P35590	Q9Q6P4	0.069
P56880	Q9Q6P4	0.073
P15260	Q9Q6P4	0.051
P41597	Q9Q6P4	0.094
P08571	Q9Q6P4	0.073
Q8TCQ1	Q9Q6P4	0.069
P20701	Q9Q6P4	0.065
P48023	Q9Q6P4	0.134
Q92956	Q9Q6P4	0.083
P01780	Q9Q6P4	0.112
Q8IVV8	Q9Q6P4	0.081
P07333	Q9Q6P4	0.054
Q9NT99	Q9Q6P4	0.056
P61952	Q9Q6P4	0.086
O43451	Q9Q6P4	0.058
P49407	Q9Q6P4	0.067
P11142	Q9Q6P4	0.069
Q01726	Q9Q6P4	0.106
Q14833	Q9Q6P4	0.059
Q8NGU9	Q9Q6P4	0.085
Q15761	Q9Q6P4	0.041
A8K7I4	Q9Q6P4	0.045
A0A087WSZ0	Q9Q6P4	0.081
A0A0B4J244	Q9Q6P4	0.075
B6A8C7	Q9Q6P4	0.075
Q99603	Q9Q6P4	0.069
Q9NQX3	Q9Q6P4	0.038
P35348	Q9Q6P4	0.064
Q14002	Q9Q6P4	0.063
P0DP08	Q9Q6P4	0.107
P41594	Q9Q6P4	0.065
Q12836	Q9Q6P4	0.053
Q9GZV3	Q9Q6P4	0.068
Q8NHA6	Q9Q6P4	0.077
Q7Z5A4	Q9Q6P4	0.067
P08887	Q9Q6P4	0.110
O15394	Q9Q6P4	0.049
O15427	Q9Q6P4	0.069
P40238	Q9Q6P4	0.053
O43493	Q9Q6P4	0.038
Q19T08	Q9Q6P4	0.053
A0A0A0MT76	Q9Q6P4	0.073
Q13698	Q9Q6P4	0.076
P47871	Q9Q6P4	0.091
P51801	Q9Q6P4	0.073
O00212	Q9Q6P4	0.071
Q8NG11	Q9Q6P4	0.079
Q9BWQ8	Q9Q6P4	0.092
Q9H1C0	Q9Q6P4	0.063
P04216	Q9Q6P4	0.118
P31323	Q9Q6P4	0.079
A0A075B6I6	Q9Q6P4	0.080
P49281	Q9Q6P4	0.060
Q9NR16	Q9Q6P4	0.083
A0A1B0GX51	Q9Q6P4	0.081
P54756	Q9Q6P4	0.074
P61550	Q9Q6P4	0.065
Q15768	Q9Q6P4	0.103
Q9NS67	Q9Q6P4	0.087
Q9NSA0	Q9Q6P4	0.066
O75581	Q9Q6P4	0.069
P25103	Q9Q6P4	0.059
P08473	Q9Q6P4	0.064
P37088	Q9Q6P4	0.052
P09104	Q9Q6P4	0.071
P16234	Q9Q6P4	0.047
Q9BZJ7	Q9Q6P4	0.085
Q2M3R5	Q9Q6P4	0.077
O43193	Q9Q6P4	0.131
P60508	Q9Q6P4	0.049
Q8WUM9	Q9Q6P4	0.049
P08173	Q9Q6P4	0.054
P84095	Q9Q6P4	0.079
Q8NGF9	Q9Q6P4	0.075
Q8TDS5	Q9Q6P4	0.061
P31751	Q9Q6P4	0.065
P53708	Q9Q6P4	0.043
Q6ZS10	Q9Q6P4	0.092
Q9NNX6	Q9Q6P4	0.049
A0A0G2JS06	Q9Q6P4	0.135
Q02413	Q9Q6P4	0.041
Q7Z444	Q9Q6P4	0.071
P21964	Q9Q6P4	0.117
Q6YHK3	Q9Q6P4	0.068
Q8N3J6	Q9Q6P4	0.086
O14804	Q9Q6P4	0.068
P43088	Q9Q6P4	0.087
P60852	Q9Q6P4	0.063
P08195	Q9Q6P4	0.059
A0A075B6K5	Q9Q6P4	0.082
Q9UMF0	Q9Q6P4	0.049
O14610	Q9Q6P4	0.080
P59768	Q9Q6P4	0.086
P61077	Q9Q6P4	0.147
P35232	Q9Q6P4	0.070
P48167	Q9Q6P4	0.058
P49771	Q9Q6P4	0.092
A0A075B6W5	Q9Q6P4	0.074
P24394	Q9Q6P4	0.060
Q13740	Q9Q6P4	0.053
P06241	Q9Q6P4	0.042
P27701	Q9Q6P4	0.075
Q8IWU6	Q9Q6P4	0.056
O43914	Q9Q6P4	0.132
Q86YL7	Q9Q6P4	0.067
P46721	Q9Q6P4	0.049
P29466	Q9Q6P4	0.073
P01871	Q9Q6P4	0.059
P58181	Q9Q6P4	0.083
Q96E93	Q9Q6P4	0.096
O75508	Q9Q6P4	0.089
P29474	Q9Q6P4	0.071
Q15375	Q9Q6P4	0.053
P25021	Q9Q6P4	0.070
A0A075B6K0	Q9Q6P4	0.127
Q8TDM5	Q9Q6P4	0.148
Q10589	Q9Q6P4	0.065
P62491	Q9Q6P4	0.069
Q99062	Q9Q6P4	0.051
P01709	Q9Q6P4	0.145
Q13336	Q9Q6P4	0.090
Q7Z7D3	Q9Q6P4	0.049
Q15743	Q9Q6P4	0.099
P30939	Q9Q6P4	0.069
Q9NYB5	Q9Q6P4	0.058
P47883	Q9Q6P4	0.074
P30872	Q9Q6P4	0.071
Q8NGC2	Q9Q6P4	0.086
O60412	Q9Q6P4	0.077
O95183	Q9Q6P4	0.083
Q9BRK3	Q9Q6P4	0.098
Q99523	Q9Q6P4	0.063
A0A0C4DH38	Q9Q6P4	0.080
P48357	Q9Q6P4	0.043
P35414	Q9Q6P4	0.075
A0A0A6YYK7	Q9Q6P4	0.071
Q9Y572	Q9Q6P4	0.063
P06858	Q9Q6P4	0.061
Q8NGP2	Q9Q6P4	0.071
O95497	Q9Q6P4	0.050
Q9NV96	Q9Q6P4	0.069
Q13241	Q9Q6P4	0.127
Q8IV16	Q9Q6P4	0.137
Q9UBL9	Q9Q6P4	0.080
O00161	Q9Q6P4	0.074
P01854	Q9Q6P4	0.066
A0A075B6R2	Q9Q6P4	0.083
Q9H9S5	Q9Q6P4	0.061
P30542	Q9Q6P4	0.073
Q13491	Q9Q6P4	0.054
Q9NX77	Q9Q6P4	0.039
Q01650	Q9Q6P4	0.077
Q96DU3	Q9Q6P4	0.063
Q14254	Q9Q6P4	0.057
Q9BXJ7	Q9Q6P4	0.041
P50443	Q9Q6P4	0.053
P55290	Q9Q6P4	0.042
P30530	Q9Q6P4	0.050
A0A0B4J273	Q9Q6P4	0.083
Q8TDU6	Q9Q6P4	0.052
P30273	Q9Q6P4	0.087
P14735	Q9Q6P4	0.059
P01699	Q9Q6P4	0.116
P49682	Q9Q6P4	0.117
O00159	Q9Q6P4	0.047
Q12913	Q9Q6P4	0.055
P29016	Q9Q6P4	0.139
A0M8Q6	Q9Q6P4	0.083
P17931	Q9Q6P4	0.057
Q68D85	Q9Q6P4	0.057
O43157	Q9Q6P4	0.061
P13762	Q9Q6P4	0.093
A0A0B4J240	Q9Q6P4	0.077
Q8NA29	Q9Q6P4	0.053
Q9Y5Q5	Q9Q6P4	0.045
P56746	Q9Q6P4	0.074
A0A0B4J249	Q9Q6P4	0.078
P06733	Q9Q6P4	0.059
P01911	Q9Q6P4	0.093
P51160	Q9Q6P4	0.083
P01772	Q9Q6P4	0.101
P01743	Q9Q6P4	0.077
Q8NGL9	Q9Q6P4	0.060
P46663	Q9Q6P4	0.093
Q7Z3B1	Q9Q6P4	0.065
O60488	Q9Q6P4	0.060
P08865	Q9Q6P4	0.081
P43657	Q9Q6P4	0.053
Q86UE6	Q9Q6P4	0.055
P05023	Q9Q6P4	0.060
A0A075B6S9	Q9Q6P4	0.081
Q9BTN0	Q9Q6P4	0.066
P01880	Q9Q6P4	0.057
Q6UXB4	Q9Q6P4	0.105
Q8TBE7	Q9Q6P4	0.063
P25100	Q9Q6P4	0.051
Q16445	Q9Q6P4	0.040
Q9H4E5	Q9Q6P4	0.081
P13473	Q9Q6P4	0.047
Q08881	Q9Q6P4	0.061
Q8WWA0	Q9Q6P4	0.063
Q9Y271	Q9Q6P4	0.084
Q92637	Q9Q6P4	0.099
Q86Y78	Q9Q6P4	0.155
Q96MU8	Q9Q6P4	0.049
Q9GZZ7	Q9Q6P4	0.101
Q9ULV4	Q9Q6P4	0.054
P49190	Q9Q6P4	0.058
A0A087WT01	Q9Q6P4	0.085
Q5T442	Q9Q6P4	0.087
P35368	Q9Q6P4	0.052
Q9HBW9	Q9Q6P4	0.057
P15391	Q9Q6P4	0.069
P17948	Q9Q6P4	0.058
Q9Y275	Q9Q6P4	0.095
O95484	Q9Q6P4	0.098
P61020	Q9Q6P4	0.073
P0DSN7	Q9Q6P4	0.079
Q9H228	Q9Q6P4	0.101
O15551	Q9Q6P4	0.079
P07911	Q9Q6P4	0.061
P59922	Q9Q6P4	0.066
A0A0C4DH68	Q9Q6P4	0.089
Q53GD3	Q9Q6P4	0.068
Q7RTY0	Q9Q6P4	0.088
P01860	Q9Q6P4	0.051
P14784	Q9Q6P4	0.041
Q08828	Q9Q6P4	0.040
P01602	Q9Q6P4	0.092
O00299	Q9Q6P4	0.087
Q9BRT3	Q9Q6P4	0.085
P51157	Q9Q6P4	0.052
P28223	Q9Q6P4	0.064
Q8WY07	Q9Q6P4	0.062
Q9H2Y9	Q9Q6P4	0.054
P23083	Q9Q6P4	0.068
O60500	Q9Q6P4	0.059
P62834	Q9Q6P4	0.082
Q12974	Q9Q6P4	0.097
Q99467	Q9Q6P4	0.054
P00918	Q9Q6P4	0.084
O95274	Q9Q6P4	0.083
P0CF74	Q9Q6P4	0.130
A0A0B4J279	Q9Q6P4	0.069
P54753	Q9Q6P4	0.071
P01718	Q9Q6P4	0.077
P16410	Q9Q6P4	0.109
Q8NGY0	Q9Q6P4	0.056
P0CG37	Q9Q6P4	0.085
Q9UJU6	Q9Q6P4	0.057
P0DP06	Q9Q6P4	0.166
P19440	Q9Q6P4	0.065
P43119	Q9Q6P4	0.060
Q9UN72	Q9Q6P4	0.053
Q86SQ4	Q9Q6P4	0.051
P31391	Q9Q6P4	0.112
P01763	Q9Q6P4	0.142
P30874	Q9Q6P4	0.069
Q9NQS3	Q9Q6P4	0.042
Q8TCY5	Q9Q6P4	0.100
Q8TDU9	Q9Q6P4	0.103
Q7Z6A9	Q9Q6P4	0.085
Q8N6F1	Q9Q6P4	0.064
O75015	Q9Q6P4	0.091
A0A075B6N1	Q9Q6P4	0.082
P30556	Q9Q6P4	0.054
Q0VAQ4	Q9Q6P4	0.079
Q13449	Q9Q6P4	0.061
O75144	Q9Q6P4	0.069
Q8NGN8	Q9Q6P4	0.057
Q9BXU9	Q9Q6P4	0.076
P05556	Q9Q6P4	0.067
Q9NSD7	Q9Q6P4	0.065
Q12864	Q9Q6P4	0.039
P49019	Q9Q6P4	0.059
P52797	Q9Q6P4	0.077
Q8TAF8	Q9Q6P4	0.108
P07237	Q9Q6P4	0.069
P25089	Q9Q6P4	0.047
P07766	Q9Q6P4	0.071
Q9NP59	Q9Q6P4	0.052
P0DPF7	Q9Q6P4	0.077
Q08462	Q9Q6P4	0.046
Q02487	Q9Q6P4	0.056
Q12884	Q9Q6P4	0.047
Q14677	Q9Q6P4	0.060
Q9UIQ6	Q9Q6P4	0.060
A0A0C4DH39	Q9Q6P4	0.063
Q9H3T3	Q9Q6P4	0.083
Q14956	Q9Q6P4	0.065
P0DP04	Q9Q6P4	0.092
Q13258	Q9Q6P4	0.069
A0A599	Q9Q6P4	0.077
Q9Y5H9	Q9Q6P4	0.053
P60033	Q9Q6P4	0.070
P52569	Q9Q6P4	0.080
Q13685	Q9Q6P4	0.051
P25105	Q9Q6P4	0.061
O43820	Q9Q6P4	0.049
P19320	Q9Q6P4	0.051
Q8NHP6	Q9Q6P4	0.054
O75882	Q9Q6P4	0.058
Q494U1	Q9Q6P4	0.061
P22888	Q9Q6P4	0.064
Q04721	Q9Q6P4	0.046
Q96RI8	Q9Q6P4	0.062
P30559	Q9Q6P4	0.092
Q96GD0	Q9Q6P4	0.071
Q9NSI5	Q9Q6P4	0.051
P12821	Q9Q6P4	0.051
